"workerid"	"condition.mode"	"condition.difficulty"	"condition.stability"	"n.peeks"	"p.peeks"	"total.points"	"duration"	"sex"	"age"	"barratt.all"	"max.nen.all"	"reg.sch.all"	"total.points.fh"	"total.points.sh"
"1"	"A100VV1V2XDQI7"	"keep"	"easy"	"stable"	0	0	659	1060	"female"	42	45	16	21	261	398
"2"	"A10443E11ZWEHJ"	"keep"	"easy"	"stable"	0	0	394	1379	"male"	49	54	26	21	134	260
"3"	"A10PBSEA7JSZ4E"	"peek"	"hard"	"dynamic"	36	0.18	-311	1130	"female"	23	55	30	34	-326	15
"4"	"A10T9C9WY488DY"	"keep"	"easy"	"dynamic"	0	0	13	975	"male"	34	44	22	8	116	-103
"5"	"A11SMS4CF6W26Y"	"keep"	"hard"	"stable"	0	0	177	333	"female"	27	74	28	25	55	122
"6"	"A1271O4R0B5A8Y"	"peek"	"easy"	"stable"	9	0.045	204	820	"female"	27	37	15	26	68	136
"7"	"A12O9P1OTMJOPW"	"keep"	"easy"	"stable"	0	0	747	772	"female"	56	58	20	25	244	503
"8"	"A14J86Y1L3RCQ0"	"peek"	"hard"	"dynamic"	84	0.42	224	1896	"male"	32	66	36	29	49	175
"9"	"A14VY6QXKBLC0D"	"keep"	"easy"	"stable"	0	0	385	821	"male"	31	55	31	26	6	379
"10"	"A15F2JTVAJXITI"	"peek"	"easy"	"dynamic"	18	0.09	351	747	"female"	36	64	29	27	250	101
"11"	"A177SQ2XOR1FRI"	"peek"	"easy"	"dynamic"	2	0.01	87	1373	"female"	63	65	21	11	69	18
"12"	"A17KZPGCY7PACK"	"keep"	"easy"	"dynamic"	0	0	166	830	"female"	38	52	27	28	183	-17
"13"	"A17M0M8JML4I4G"	"keep"	"easy"	"dynamic"	0	0	-23	391	"male"	18	33	26	20	-143	120
"14"	"A18MC27WTCEBA2"	"keep"	"easy"	"dynamic"	0	0	-25	-1	"male"	27	60	36	27	27	-52
"15"	"A1A3TGZ7DKJWRW"	"peek"	"easy"	"stable"	11	0.055	693	462	"male"	25	NA	28	26	190	503
"16"	"A1AV4GDVK0IT7O"	"peek"	"hard"	"stable"	6	0.03	998	731	"male"	29	57	26	17	500	498
"17"	"A1B4WL7N3ACF2T"	"keep"	"easy"	"stable"	0	0	798	1214	"female"	54	53	20	26	410	388
"18"	"A1BN0AWHF34FCG"	"peek"	"easy"	"stable"	11	0.055	823	923	"female"	18	65	25	25	320	503
"19"	"A1C0P72V4V16QN"	"keep"	"easy"	"dynamic"	0	0	311	668	"male"	37	NA	28	24	317	-6
"20"	"A1DNJ17PE2RYJZ"	"keep"	"hard"	"stable"	0	0	-13	759	"male"	61	52	14	24	126	-139
"21"	"A1DUH3RLI00YQM"	"keep"	"easy"	"dynamic"	0	0	70	1070	"male"	70	64	19	10	162	-92
"22"	"A1DYGADVE0AIKV"	"keep"	"hard"	"dynamic"	0	0	170	800	"female"	33	80	31	26	180	-10
"23"	"A1EFWWVL8VQWY8"	"peek"	"easy"	"dynamic"	96	0.48	198	977	"female"	30	49	31	26	164	34
"24"	"A1ETJBNTO9ZWZ8"	"keep"	"hard"	"dynamic"	0	0	61	800	"male"	51	44	28	22	203	-142
