"participant"	"age"	"sex"	"drink"	"time.1"	"time.2"
35	20	"female"	"coffee"	97	81
47	22	"male"	"coffee"	111	108
48	25	"female"	"coffee"	127	125
2	21	"other/NA"	"coffee"	109	102
18	20	"male"	"coffee"	99	91
19	21	"male"	"coffee"	105	91
96	21	"male"	"water"	109	146
72	19	"male"	"water"	93	98
81	22	"male"	"water"	114	154
80	25	"female"	"water"	125	106
9	23	"female"	"coffee"	114	103
150	21	"female"	"tea"	103	100
86	22	"female"	"water"	112	126
123	22	"female"	"tea"	114	101
125	22	"female"	"tea"	129	93
57	22	"female"	"water"	109	125
147	21	"other/NA"	"tea"	104	95
122	22	"male"	"tea"	93	99
38	19	"female"	"coffee"	96	89
24	21	"female"	"coffee"	104	94
10	21	"male"	"coffee"	103	89
14	19	"female"	"coffee"	93	87
51	23	"male"	"water"	113	117
67	18	"female"	"water"	87	88
59	18	"male"	"water"	91	90
93	22	"male"	"water"	108	128
110	22	"female"	"tea"	113	96
70	24	"male"	"water"	125	91
144	20	"male"	"tea"	108	94
75	25	"male"	"water"	129	106
42	18	"male"	"coffee"	92	92
133	20	"female"	"tea"	92	94
50	22	"female"	"coffee"	107	104
92	22	"female"	"water"	109	88
114	22	"male"	"tea"	100	101
137	23	"female"	"tea"	101	107
71	19	"male"	"water"	95	97
40	20	"female"	"coffee"	99	88
142	22	"other/NA"	"tea"	109	98
76	20	"male"	"water"	101	115
95	22	"male"	"water"	105	74
29	21	"female"	"coffee"	102	97
90	20	"male"	"water"	99	108
16	24	"female"	"coffee"	119	111
102	22	"male"	"tea"	93	98
56	19	"male"	"water"	96	134
20	21	"male"	"coffee"	102	89
36	22	"female"	"coffee"	116	100
6	22	"female"	"coffee"	112	94
136	18	"male"	"tea"	112	84
52	19	"male"	"water"	93	101
4	21	"other/NA"	"coffee"	105	95
28	22	"male"	"coffee"	108	100
39	18	"male"	"coffee"	88	82
104	25	"male"	"tea"	109	110
7	22	"female"	"coffee"	114	115
15	22	"male"	"coffee"	109	103
131	21	"male"	"tea"	114	99
63	22	"male"	"water"	110	80
140	25	"male"	"tea"	99	110
78	22	"male"	"water"	106	108
112	23	"female"	"tea"	115	102
32	19	"female"	"coffee"	93	81
26	21	"male"	"coffee"	101	103
145	16	"female"	"tea"	105	71
83	19	"other/NA"	"water"	92	82
73	23	"other/NA"	"water"	114	102
69	23	"female"	"water"	118	146
141	23	"female"	"tea"	121	103
149	21	"female"	"tea"	112	102
45	22	"male"	"coffee"	113	100
134	22	"female"	"tea"	96	105
146	25	"male"	"tea"	109	123
91	25	"male"	"water"	121	121
101	19	"female"	"tea"	113	76
74	18	"female"	"water"	89	115
54	21	"female"	"water"	109	119
97	20	"female"	"water"	104	105
98	21	"female"	"water"	105	94
135	20	"male"	"tea"	107	88
94	22	"male"	"water"	108	98
148	20	"male"	"tea"	105	90
31	23	"female"	"coffee"	117	110
22	25	"male"	"coffee"	124	107
109	22	"female"	"tea"	91	109
55	21	"female"	"water"	101	120
105	21	"female"	"tea"	101	94
62	23	"other/NA"	"water"	115	150
127	19	"female"	"tea"	100	92
107	21	"male"	"tea"	109	80
5	23	"female"	"coffee"	110	101
21	19	"female"	"coffee"	93	91
77	20	"female"	"water"	100	124
43	22	"male"	"coffee"	109	101
85	21	"male"	"water"	107	83
79	19	"female"	"water"	100	122
61	20	"other/NA"	"water"	98	118
100	21	"male"	"water"	103	85
88	22	"male"	"water"	111	114
1	18	"female"	"coffee"	91	79
113	19	"male"	"tea"	110	80
68	22	"other/NA"	"water"	111	116
53	22	"male"	"water"	109	89
87	20	"other/NA"	"water"	101	129
82	23	"male"	"water"	117	83
116	22	"female"	"tea"	121	105
118	22	"female"	"tea"	111	99
89	20	"male"	"water"	109	107
17	22	"female"	"coffee"	116	108
119	19	"male"	"tea"	118	84
129	19	"other/NA"	"tea"	100	75
13	21	"male"	"coffee"	105	93
130	19	"female"	"tea"	125	86
33	22	"female"	"coffee"	111	104
41	22	"female"	"coffee"	112	103
132	21	"male"	"tea"	117	101
117	15	"female"	"tea"	87	69
11	21	"male"	"coffee"	104	91
138	21	"male"	"tea"	111	96
108	19	"male"	"tea"	115	97
120	23	"female"	"tea"	125	109
8	22	"female"	"coffee"	109	105
115	21	"female"	"tea"	92	99
124	23	"male"	"tea"	89	100
103	20	"male"	"tea"	109	103
126	22	"male"	"tea"	101	104
64	20	"male"	"water"	100	105
66	24	"male"	"water"	121	86
106	24	"male"	"tea"	96	107
84	19	"female"	"water"	96	74
128	19	"female"	"tea"	106	86
139	20	"male"	"tea"	109	85
3	25	"female"	"coffee"	121	113
37	20	"female"	"coffee"	103	92
30	22	"male"	"coffee"	113	97
34	22	"male"	"coffee"	107	98
25	23	"male"	"coffee"	116	107
60	22	"female"	"water"	113	131
65	20	"male"	"water"	92	61
111	21	"female"	"tea"	98	97
44	23	"female"	"coffee"	117	105
99	22	"female"	"water"	112	94
143	20	"male"	"tea"	108	81
27	22	"other/NA"	"coffee"	110	100
46	25	"male"	"coffee"	127	104
23	22	"female"	"coffee"	108	95
12	21	"female"	"coffee"	111	104
58	23	"male"	"water"	115	113
121	23	"male"	"tea"	95	113
49	23	"female"	"coffee"	116	112
