condition.action	condition.difficulty	condition.stability	unipark.condition	gameid	stim.order
keeps	easy	stable	1	555	123
keeps	easy	stable	2	556	132
keeps	easy	stable	3	557	213
keeps	easy	stable	4	558	231
keeps	easy	stable	5	559	312
keeps	easy	stable	6	560	321
keeps	easy	dynamic	7	561	123
keeps	easy	dynamic	8	562	132
keeps	easy	dynamic	9	563	213
keeps	easy	dynamic	10	564	231
keeps	easy	dynamic	11	565	312
keeps	easy	dynamic	12	566	321
keeps	hard	stable	13	567	123
keeps	hard	stable	14	568	132
keeps	hard	stable	15	569	213
keeps	hard	stable	16	570	231
keeps	hard	stable	17	571	312
keeps	hard	stable	18	572	321
keeps	hard	dynamic	19	573	123
keeps	hard	dynamic	20	575	132
keeps	hard	dynamic	21	576	213
keeps	hard	dynamic	22	577	231
keeps	hard	dynamic	23	578	312
keeps	hard	dynamic	24	579	321
peeks	easy	stable	25	580	123
peeks	easy	stable	26	581	132
peeks	easy	stable	27	582	213
peeks	easy	stable	28	583	231
peeks	easy	stable	29	584	312
peeks	easy	stable	30	585	321
peeks	easy	dynamic	31	586	123
peeks	easy	dynamic	32	587	132
peeks	easy	dynamic	33	588	213
peeks	easy	dynamic	34	589	231
peeks	easy	dynamic	35	590	312
peeks	easy	dynamic	36	591	321
peeks	hard	stable	37	592	123
peeks	hard	stable	38	593	132
peeks	hard	stable	39	594	213
peeks	hard	stable	40	595	231
peeks	hard	stable	41	596	312
peeks	hard	stable	42	597	321
peeks	hard	dynamic	43	598	123
peeks	hard	dynamic	44	599	132
peeks	hard	dynamic	45	600	213
peeks	hard	dynamic	46	601	231
peeks	hard	dynamic	47	602	312
peeks	hard	dynamic	48	603	321
