"workerid"	"turk.reward"	"turk.reward.message"
"1"	"A100VV1V2XDQI7"	0.66	"You earned 659 points in The Boxes Game. At 1 cent for every 10 points, this means you earned a bonus of 0.66"
"2"	"A10P238L5ZBHZ"	0	NA
"3"	"A10T9C9WY488DY"	0.01	"You earned 13 points in The Boxes Game. At 1 cent for every 10 points, this means you earned a bonus of 0.01"
"4"	"A12O9P1OTMJOPW"	0.75	"You earned 747 points in The Boxes Game. At 1 cent for every 10 points, this means you earned a bonus of 0.75"
"5"	"A139DFNZS0I9RB"	0.02	"You earned 18 points in The Boxes Game. At 1 cent for every 10 points, this means you earned a bonus of 0.02"
"6"	"A14P3ZTCQI6B3S"	0	NA
"7"	"A14VY6QXKBLC0D"	0.38	"You earned 385 points in The Boxes Game. At 1 cent for every 10 points, this means you earned a bonus of 0.38"
"8"	"A15LHHN76OW2UM"	0	NA
"9"	"A15SPRQ2HRRZMQ"	0.31	"You earned 308 points in The Boxes Game. At 1 cent for every 10 points, this means you earned a bonus of 0.31"
"10"	"A15WYFI0T9Q41"	0.1	"You earned 95 points in The Boxes Game. At 1 cent for every 10 points, this means you earned a bonus of 0.1"
"11"	"A16QMHXE8G3ATJ"	0	NA
"12"	"A17KZPGCY7PACK"	0.17	"You earned 166 points in The Boxes Game. At 1 cent for every 10 points, this means you earned a bonus of 0.17"
"13"	"A17M0M8JML4I4G"	0	NA
"14"	"A18MC27WTCEBA2"	0	NA
"15"	"A190VSP1NFNBR9"	0	NA
"16"	"A195MOXRMNHRVT"	0.32	"You earned 321 points in The Boxes Game. At 1 cent for every 10 points, this means you earned a bonus of 0.32"
"17"	"A1A3TGZ7DKJWRW"	0.69	"You earned 693 points in The Boxes Game. At 1 cent for every 10 points, this means you earned a bonus of 0.69"
"18"	"A1AA6392Z0OBNN"	0	NA
"19"	"A1AV4GDVK0IT7O"	1	"You earned 998 points in The Boxes Game. At 1 cent for every 10 points, this means you earned a bonus of 1"
"20"	"A1B4WL7N3ACF2T"	0.8	"You earned 798 points in The Boxes Game. At 1 cent for every 10 points, this means you earned a bonus of 0.8"
"21"	"A1BN0AWHF34FCG"	0.82	"You earned 823 points in The Boxes Game. At 1 cent for every 10 points, this means you earned a bonus of 0.82"
"22"	"A1C0P72V4V16QN"	0.31	"You earned 311 points in The Boxes Game. At 1 cent for every 10 points, this means you earned a bonus of 0.31"
"23"	"A1DUH3RLI00YQM"	0.07	"You earned 70 points in The Boxes Game. At 1 cent for every 10 points, this means you earned a bonus of 0.07"
"24"	"A1EFWWVL8VQWY8"	0.2	"You earned 198 points in The Boxes Game. At 1 cent for every 10 points, this means you earned a bonus of 0.2"
"25"	"A1ETJBNTO9ZWZ8"	0.06	"You earned 61 points in The Boxes Game. At 1 cent for every 10 points, this means you earned a bonus of 0.06"
