gameid	outcome	a	b	c	d
635	1	-4	-7	0	0
635	2	-2	-8	0	0
635	3	2	0	0	0
635	4	0	-4	0	0
635	5	2	-12	0	0
635	6	7	-4	0	0
635	7	-2	-4	0	0
635	8	4	-2	0	0
635	9	8	-4	0	0
635	10	6	-6	0	0
635	11	-4	-12	0	0
635	12	4	-2	0	0
635	13	14	-6	0	0
635	14	0	-5	0	0
635	15	8	-4	0	0
635	16	7	0	0	0
635	17	1	-8	0	0
635	18	15	-1	0	0
635	19	3	-5	0	0
635	20	6	0	0	0
635	21	7	-5	0	0
635	22	8	-1	0	0
635	23	10	-10	0	0
635	24	2	-8	0	0
635	25	9	-6	0	0
635	26	3	-6	0	0
635	27	4	0	0	0
635	28	11	-9	0	0
635	29	4	-8	0	0
635	30	10	-11	0	0
635	31	-4	-3	0	0
635	32	6	-2	0	0
635	33	6	-7	0	0
635	34	16	-8	0	0
635	35	6	-2	0	0
635	36	13	-5	0	0
635	37	4	-7	0	0
635	38	12	-5	0	0
635	39	5	-7	0	0
635	40	10	-13	0	0
635	41	5	-8	0	0
635	42	5	-9	0	0
635	43	-1	-12	0	0
635	44	6	-10	0	0
635	45	4	-10	0	0
635	46	2	-9	0	0
635	47	11	-6	0	0
635	48	0	-3	0	0
635	49	8	-3	0	0
635	50	-3	-7	0	0
635	51	-1	-9	0	0
635	52	6	-3	0	0
635	53	6	-11	0	0
635	54	-6	0	0	0
635	55	8	-7	0	0
635	56	5	-11	0	0
635	57	2	1	0	0
635	58	3	-9	0	0
635	59	8	-3	0	0
635	60	6	-5	0	0
635	61	13	-7	0	0
635	62	1	6	0	0
635	63	1	-8	0	0
635	64	6	-9	0	0
635	65	4	-10	0	0
635	66	7	-4	0	0
635	67	9	3	0	0
635	68	3	-9	0	0
635	69	3	0	0	0
635	70	7	-3	0	0
635	71	5	-1	0	0
635	72	9	3	0	0
635	73	2	-6	0	0
635	74	6	-2	0	0
635	75	5	-4	0	0
635	76	4	-8	0	0
635	77	-2	-4	0	0
635	78	3	2	0	0
635	79	1	0	0	0
635	80	5	-5	0	0
635	81	-6	0	0	0
635	82	10	-7	0	0
635	83	4	-10	0	0
635	84	7	-3	0	0
635	85	-4	-12	0	0
635	86	13	-7	0	0
635	87	3	-1	0	0
635	88	12	3	0	0
635	89	13	6	0	0
635	90	7	-1	0	0
635	91	6	-2	0	0
635	92	9	4	0	0
635	93	-2	2	0	0
635	94	8	-8	0	0
635	95	0	3	0	0
635	96	1	-10	0	0
635	97	6	-12	0	0
635	98	12	-6	0	0
635	99	7	-2	0	0
635	100	11	-15	0	0
636	1	-2	26	0	0
636	2	0	14	0	0
636	3	5	-6	0	0
636	4	-11	-30	0	0
636	5	19	-45	0	0
636	6	1	-20	0	0
636	7	33	-22	0	0
636	8	6	23	0	0
636	9	15	10	0	0
636	10	17	-25	0	0
636	11	-1	-5	0	0
636	12	9	-16	0	0
636	13	15	-26	0	0
636	14	-11	13	0	0
636	15	-21	-33	0	0
636	16	16	-23	0	0
636	17	4	-10	0	0
636	18	7	8	0	0
636	19	4	-17	0	0
636	20	-5	-42	0	0
636	21	-21	37	0	0
636	22	35	-1	0	0
636	23	17	3	0	0
636	24	47	33	0	0
636	25	6	-28	0	0
636	26	-19	6	0	0
636	27	29	-1	0	0
636	28	-12	3	0	0
636	29	-37	12	0	0
636	30	17	11	0	0
636	31	10	-15	0	0
636	32	-5	-24	0	0
636	33	28	-21	0	0
636	34	-25	-43	0	0
636	35	-17	-19	0	0
636	36	-28	1	0	0
636	37	-8	4	0	0
636	38	5	-9	0	0
636	39	23	3	0	0
636	40	-7	-27	0	0
636	41	13	3	0	0
636	42	17	8	0	0
636	43	11	2	0	0
636	44	25	32	0	0
636	45	29	11	0	0
636	46	-22	3	0	0
