gameid	workerid	optionorder	playergamenum
635	A39QOA9M7GNF86	2,1	0
635	ACCXC5V05C9R9	2,1	0
635	A39QOA9M7GNF86	2,1	1
635	A39QOA9M7GNF86	1,2	2
635	A39QOA9M7GNF86	2,1	3
635	A39QOA9M7GNF86	1,2	4
635	A39QOA9M7GNF86	1,2	5
635	A39QOA9M7GNF86	2,1	6
635	A39QOA9M7GNF86	1,2	7
635	hvjkedtxyku,	1,2	1
635	stfudjzrtysxmyuig.	1,2	1
635	A1BPV7X3HFU3S	2,1	1
635	A1BPV7X3HFU3S	1,2	2
635	A3RL02A3JRAUS4	2,1	1
635	A3RL02A3JRAUS4	2,1	2
635	A24FJON79XRNJ4	1,2	1
635	A3GPPNKEAT48D8	1,2	1
635	A24FJON79XRNJ4	1,2	2
635	A3GPPNKEAT48D8	2,1	2
635	A36DEH3E62VKGZ	1,2	1
635	A36DEH3E62VKGZ	1,2	2
635	A35QZFRG4FKK3Z	2,1	1
635	A14WLAP6TCEKO0	2,1	1
635	A14WLAP6TCEKO0	2,1	2
635	A35QZFRG4FKK3Z	1,2	2
635	A1NITMHYG5YL3H	2,1	1
635	A1NITMHYG5YL3H	2,1	2
635	A370MPTHYDCDKX	2,1	1
635	A370MPTHYDCDKX	1,2	2
635	A3CWYWKQXX4RIZ	2,1	1
635	A3CWYWKQXX4RIZ	1,2	2
635	A31KV6ETEFLOEM	1,2	1
635	A29ZTF7JUO8F39	2,1	1
635	A2V0NF8JPPXUKP	1,2	1
635	A3GE7CHWBLELVD	1,2	1
635	A31KV6ETEFLOEM	1,2	2
635	A1IFIK8J49WBER	2,1	1
635	AZIAQJWXTSFUX	2,1	1
635	A29ZTF7JUO8F39	1,2	2
635	A3GE7CHWBLELVD	2,1	2
635	A2V0NF8JPPXUKP	2,1	2
635	A1IFIK8J49WBER	2,1	2
635	A2T91F321UGZBX	1,2	1
635	AZIAQJWXTSFUX	1,2	2
635	AK3GZE8MPQL4Y	2,1	1
635	A2T91F321UGZBX	1,2	2
635	A292P28DPSXETV	1,2	1
635	AK3GZE8MPQL4Y	2,1	2
635	A3P74FP62XNVYI	2,1	1
635	A292P28DPSXETV	2,1	2
635	A247FCJEEXVQM0	1,2	1
635	A3P74FP62XNVYI	1,2	2
635	A247FCJEEXVQM0	1,2	2
635	A37M4OVE9R80G	2,1	1
635	AXKM85DGEKNO5	2,1	1
635	AXKM85DGEKNO5	2,1	2
635	A37M4OVE9R80G	2,1	2
635	ALT88JWMD3JVJ	2,1	1
635	A11E4KZZJMWA6Z	2,1	1
635	A11E4KZZJMWA6Z	2,1	2
635	ALT88JWMD3JVJ	2,1	2
635	AZNIEFUIVB2H0	2,1	1
635	AZNIEFUIVB2H0	2,1	2
635	AVLINTDE81FB8	1,2	1
635	AVLINTDE81FB8	1,2	2
635	A3U74S280Z4B0	2,1	1
635	A3U74S280Z4B0	2,1	2
635	A25UBZ4Q8KORO8	1,2	1
635	A25UBZ4Q8KORO8	1,2	2
636	A2QQY4S73JO639	2,1	0
636	A2O5OJXCUFQ3FV	2,1	0
636	A39QOA9M7GNF86	2,1	0
636	mytestgamemember121212S	2,1	1
636	A2QQY4S73JO639	1,2	1
