lfdn	duration	conditionNr	rand01	rand02	rand03	informedConsent	workerid	instrClear	bugs	bugDescr	effort	change	hotCold	hotColdOther	v_535	bimp_01	bimp_02	bimp_03	bimp_04	bimp_05	bimp_06	bimp_07	bimp_08	bimp_09	bimp_10	bimp_11	bimp_12	bimp_13	bimp_14	bimp_15	bimp_16	bimp_17	bimp_18	bimp_21	bimp_22	bimp_23	bimp_24	bimp_25	bimp_28	bimp_30	bimp_31	bimp_32	bimp_33	bimp_34	v_529	max_nen_01m	max_nen_02	max_nen_03	max_nen_04m	max_nen_05	max_nen_06	ant1	ant2	ant3	ant4	sex	age	attentionCheck	trustdata	readinstructions	datetime	date_of_last_access	rts3471294	rts3471295	rts3471296	rts3471298	rts3471299	rts3471300	rts3471302	rts3471303	rts3471700	rts3473046	rts3479835	rts3479837	rts3479839	rts3479841	rts3480907	rts3480908
69	2244	10	127	322	230	1	A1N1T17XTPEEK5	1	1	-99	3	1	3	Both	1	3	2	2	3	1	2	3	3	3	3	1	3	1	2	3	2	2	1	3	1	2	3	2	1	3	3	1	3	2	2	3	5	6	6	5	5	10	-77	-66	30	1	26	1	1	-99	09/10/15 16:47	09/10/15 17:25	63	184	539	1402	1979	2100	2136	2244	1085	769	2193	0	0	2225	1387	1140
35	866	4	142	924	495	1	ARG47LD1T4XXY	1	1	-99	3	2	-77	-66	-77	3	2	3	3	2	3	4	3	3	3	1	3	3	3	3	1	2	1	3	1	2	2	1	1	1	1	1	3	3	2	4	6	2	2	4	4	-77	-77	-66	-77	1	29	1	1	-99	29/09/15 16:08	29/09/15 16:22	22	429	455	712	737	831	855	866	699	517	0	0	0	0	0	0
22	515	7	201	983	613	1	A1WDUICI1FG9F	1	2	-99	3	2	-77	-66	-77	3	2	2	3	1	2	3	3	4	3	2	3	3	2	3	2	2	2	3	2	1	2	2	1	2	2	1	2	3	2	5	5	6	5	5	4	-77	-77	-66	-77	1	22	1	1	-99	29/09/15 14:41	29/09/15 14:49	17	26	61	391	417	486	504	515	379	109	0	0	0	0	0	0
29	366	6	230	223	323	1	AE39BR846NHHW	1	1	-99	3	1	-77	-66	-77	3	3	1	3	2	3	2	2	4	1	1	4	4	1	2	4	4	4	4	1	2	2	4	2	1	2	1	4	4	4	2	4	2	4	3	6	-77	-77	-66	-77	1	21	1	1	-99	29/09/15 15:01	29/09/15 15:07	10	18	91	300	322	351	359	366	288	130	0	0	0	0	0	0
28	612	5	248	418	346	1	A3D3NEQ158WUB0	1	1	-99	2	2	-77	-66	-77	3	2	2	2	2	3	2	2	3	3	2	3	2	2	2	2	2	2	2	2	3	2	3	2	3	2	2	3	3	2	2	5	5	4	4	5	-77	-77	-66	-77	1	35	3	1	I read the instructions	29/09/15 14:55	29/09/15 15:05	23	39	118	373	457	544	578	612	357	193	0	0	0	0	0	0
30	536	7	273	598	271	1	AHEVIE2NY1W1Z	1	1	-99	3	1	-77	-66	-77	2	3	3	2	1	3	2	3	3	2	2	3	2	3	2	3	3	2	3	2	2	3	2	1	2	1	2	2	3	2	4	4	4	4	4	4	-77	-77	-66	-77	2	25	1	1	-99	29/09/15 15:01	29/09/15 15:10	11	19	171	417	456	514	525	536	403	211	0	0	0	0	0	0
73	1036	2	283	532	815	1	A3JI3B5GTVA95F	1	1	-99	3	1	2	-99	2	2	1	3	2	1	2	1	4	4	1	1	2	1	1	2	1	1	1	4	1	1	2	1	1	3	2	1	1	1	2	4	4	1	1	6	4	25	22	50	-77	1	24	3	1	I read the instructions	09/10/15 17:10	09/10/15 17:27	53	59	166	659	803	900	931	1036	431	231	944	966	993	0	646	463
62	576	3	303	450	339	1	A3NKA0NIM0TX5C	1	1	-99	2	2	2	-99	2	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	3	2	3	3	2	2	3	3	2	3	3	3	3	3	3	25	15	5	-77	1	23	1	1	-99	09/10/15 15:31	09/10/15 15:40	21	27	72	442	486	514	521	576	281	121	540	557	563	0	430	291
61	1272	2	318	213	912	1	AW5FP8MFB3F7X	1	1	n/a	2	3	2	-99	3	3	1	2	1	1	1	4	2	3	4	3	3	3	1	1	2	1	2	3	1	1	3	1	1	1	3	3	2	3	1	6	6	4	3	3	5	20	-77	-66	30	1	38	1	1	-99	09/10/15 14:43	09/10/15 15:04	13	29	73	1074	1112	1180	1201	1272	555	246	1249	0	0	1261	1055	575
75	955	4	326	866	552	1	AH31QLJ57XC8W	1	1	-99	3	2	1	-99	2	4	1	2	4	1	1	4	4	3	3	2	3	3	3	2	2	2	2	3	2	2	3	3	3	3	2	3	3	3	2	6	5	4	4	4	5	20	-77	-66	15	2	30	1	1	-99	09/10/15 19:29	09/10/15 19:44	21	30	88	711	778	839	858	955	353	151	897	0	0	942	657	358
58	1080	11	335	848	435	1	A2W547SNOCMC25	1	1	-99	3	2	2	-99	2	3	2	2	2	2	3	3	3	3	2	2	3	2	2	3	1	2	2	3	1	2	1	3	2	3	2	2	3	2	2	5	6	5	4	5	5	25	50	20	-77	1	30	3	1	I read the instructions	09/10/15 14:34	09/10/15 14:52	19	28	154	812	886	943	970	1080	496	215	996	1017	1047	0	733	522
23	766	8	335	546	724	1	A302M81U0HM7RJ	1	1	-99	3	2	-77	-66	-77	3	1	3	3	1	2	4	3	2	3	2	3	2	1	3	1	1	1	3	2	1	1	2	1	2	1	3	4	3	1	3	5	2	4	6	4	-77	-77	-66	-77	1	29	3	1	I read the instructions	29/09/15 14:41	29/09/15 14:54	33	62	114	502	533	696	743	765	492	210	0	0	0	0	0	0
63	565	4	368	817	183	1	A90JBLDKW71DX	1	1	-99	3	1	1	-99	3	4	3	3	2	2	2	2	3	3	2	2	2	3	2	3	3	2	2	2	2	2	2	3	3	3	2	2	2	2	3	3	4	4	3	4	5	30	-77	-66	25	2	22	3	1	I read the instructions	09/10/15 15:44	09/10/15 15:53	12	18	54	398	447	504	519	565	291	164	533	0	0	540	387	323
66	1209	7	369	281	197	1	A3J6DBTEFYQCCQ	1	1	-99	3	2	1	-99	-77	3	2	1	2	1	2	3	2	4	2	2	3	2	1	2	1	2	2	3	2	2	2	2	1	2	3	1	3	2	2	5	5	4	3	4	4	10	-77	-66	25	2	40	3	1	 I read the instructions 	09/10/15 16:04	09/10/15 16:24	17	37	186	745	909	1017	1057	1209	491	266	1154	0	0	1168	720	526
56	1362	9	384	485	271	1	A1HK4I1TCQJR6P	1	1	-99	2	3	2	-99	2	4	1	4	3	1	2	4	3	4	3	1	4	1	1	4	1	2	1	4	1	2	1	3	1	3	4	1	2	3	2	2	5	1	4	5	6	25	23	4	-77	1	26	3	1	I read the instructions	09/10/15 14:31	09/10/15 14:53	19	41	200	800	924	1032	1076	1362	459	258	1158	1247	1318	0	693	502
