lfdn	lastpage	duration	conditionNr	rand01	rand02	rand03	informedConsent	workerid	instrClear	bugs	effort	fun	bestOption	change	Barratt_01	Barratt_02	Barratt_03	Barratt_04	Barratt_05	Barratt_06	Barratt_07	Barratt_08	Barratt_09	Barratt_10	Barratt_11	Barratt_12	Barratt_13	Barratt_14	Barratt_15	Barratt_16	Barratt_17	Barratt_18	Barratt_19	Barratt_20	Barratt_21	Barratt_22	Barratt_23	Barratt_24	Barratt_25	Barratt_26	Barratt_27	Barratt_28	reg_sch_01	reg_sch_02	reg_sch_03	reg_sch_04	reg_sch_05r	max_nen_01m	max_nen_02	max_nen_03	max_nen_04m	max_nen_05	max_nen_06	sex	age	attentionCheck	trustdata	readinstructions
123	3352547	462	27	105	228	727	1	A1A3TGZ7DKJWRW	1	1	3	2	2	2	3	3	2	2	2	2	2	2	2	1	2	3	2	2	2	2	1	1	2	3	3	1	1	2	3	2	2	1	5	5	5	5	2	4	4	6	6	4	2	1	25	3	1	I read the instructions
101	3352547	2399	5	110	973	833	1	AAXYYH9MI3PJM	1	1	3	2	2	3	1	1	1	1	1	1	1	1	1	3	4	4	4	4	1	1	1	1	1	4	1	1	1	1	1	1	1	1	3	5	2	1	7	4	6	6	6	6	6	1	29	3	1	I read the instructions
82	3352547	1130	34	126	917	510	1	A2QQY4S73JO639	1	1	2	2	2	2	2	3	1	3	2	2	3	2	2	3	3	3	3	3	3	3	3	3	3	3	2	2	2	3	2	3	3	2	5	6	5	6	3	6	5	4	3	6	4	2	30	3	1	I read the instructions
122	3352547	839	26	162	235	588	1	A2CVMLOH19SL5X	1	1	2	2	1	1	4	4	3	1	1	1	1	2	2	1	2	1	2	2	1	1	3	3	4	2	1	1	1	1	1	3	2	2	6	4	5	6	2	2	2	4	2	5	3	2	34	3	1	I read the instructions
69	3352547	351	21	165	541	310	1	ATCTXYKA2Y1CD	1	1	2	1	2	1	3	3	2	1	2	3	4	3	2	2	1	2	3	4	4	3	2	2	1	2	2	3	2	2	1	1	2	2	3	6	2	4	7	3	4	2	6	6	3	2	27	3	1	-99
73	3352547	1265	25	181	335	136	1	A1GWHGTBM3QMQ3	1	1	3	2	1	2	1	3	1	3	3	3	3	1	4	3	3	3	3	3	1	2	3	3	3	4	2	1	2	2	3	2	3	3	4	5	5	5	6	7	6	3	1	6	7	1	29	3	1	I read the instructions
104	3352547	770	8	209	653	737	1	A1KGCOR8OXYR72	1	1	3	2	4	3	2	2	2	3	3	1	2	1	1	2	3	3	3	4	2	1	3	3	3	3	2	1	1	2	2	2	1	2	5	5	3	4	3	3	4	5	3	4	2	1	29	1	1	-99
67	3352547	579	19	217	546	180	1	AA0QKSSEQ0B6Q	1	2	2	2	4	1	1	1	1	3	3	2	3	2	1	2	2	3	3	3	3	2	3	3	3	2	1	1	2	3	2	1	1	2	6	4	3	6	4	4	6	4	4	6	6	1	32	3	1	i read the instructions
99	3352547	769	3	222	785	458	1	A1R5TGEFPN0VP3	1	1	3	2	4	2	1	1	1	3	3	2	3	1	3	2	3	3	4	3	2	2	3	4	2	2	1	2	2	3	2	2	2	2	3	3	3	3	3	2	4	6	2	5	5	1	28	3	1	i read the instructions
119	3352547	700	23	228	311	771	1	A37S96RT1P1IT2	1	1	2	2	2	2	2	2	1	3	2	2	2	2	1	1	2	3	2	3	2	2	2	3	2	2	2	2	2	3	1	2	2	2	5	4	4	4	4	5	6	6	4	5	4	2	32	3	1	I read the instructions
