trial	date	gameid	workerid	selection.display	reward	total	mode
1	2015-06-25 16:49:35:734000	555	yreagsdfgbdfsh875	A	8	8	keep
1	2015-06-28 15:33:50:476000	555	rutyasdfjsfr84	B	9	9	keep
1	2015-06-28 16:02:13:182000	555	A2YJ7VTG3Y84ML	B	9	9	keep
1	2015-06-28 16:06:33:270000	555	A2L73JKDFWI0KJ	A	8	8	keep
1	2015-06-28 16:12:42:641000	555	A31Q7PWLBCU2X0	B	1	1	keep
1	2015-06-28 16:27:56:809000	555	A1HU67YR5SX857	A	8	8	keep
1	2015-06-28 16:46:56:356000	555	A14VY6QXKBLC0D	A	8	8	keep
1	2015-06-25 17:50:14:096000	556	A2NDA88F1EZWEH	A	8	8	keep
1	2015-06-28 15:39:58:654000	556	asdasdf80	B	-10	-10	keep
1	2015-06-28 16:00:54:974000	556	A1KHK2C32M9BER	B	-10	-10	keep
1	2015-06-28 16:07:36:251000	556	A1RC2PD0YJFCU8	C	9	9	keep
1	2015-06-28 16:20:06:693000	556	A2BQSNRTCV8XQ4	B	-10	-10	keep
1	2015-06-28 16:28:08:431000	556	A2B533B7Y6Q0ID	B	-10	-10	keep
1	2015-06-28 16:48:17:768000	556	A1B4WL7N3ACF2T	A	8	8	keep
1	2015-06-25 16:59:27:511000	557	test	A	9	9	keep
1	2015-06-25 17:51:18:020000	557	A1R5TGEFPN0VP3	A	9	9	keep
1	2015-06-28 16:01:14:603000	557	ASRI4XGCPE999	A	9	9	keep
1	2015-06-28 16:06:22:928000	557	AHXE36JW3AY4J	B	8	8	keep
1	2015-06-28 16:13:48:610000	557	AH31QLJ57XC8W	B	8	8	keep
1	2015-06-28 16:31:37:686000	557	A1V0L5FYLMAHTG	B	8	8	keep
1	2015-06-28 16:57:25:076000	557	AL9R6CILUG30X	B	8	8	keep
1	2015-06-28 15:59:23:680000	558	A2ZRF4I5RTKN7G	B	-10	-10	keep
1	2015-06-28 16:14:36:487000	558	A12O9P1OTMJOPW	B	-10	-10	keep
1	2015-06-28 16:29:18:883000	558	A37QZIPI5JW6Q9	A	9	9	keep
1	2015-06-28 16:53:36:526000	558	A3UUUI3JQIGG7O	B	-10	-10	keep
1	2015-06-25 18:23:58:690000	559	AAXYYH9MI3PJM2	B	8	8	keep
1	2015-06-28 16:05:10:238000	559	ADOB8J5ANJLQW	C	9	9	keep
1	2015-06-28 16:09:30:634000	559	A2GIJ8E45BSAI	A	-10	-10	keep
1	2015-06-28 16:14:19:929000	559	A2ZV96GRXVSXK4	B	8	8	keep
1	2015-06-28 16:35:06:550000	559	A100VV1V2XDQI7	A	-10	-10	keep
1	2015-06-28 16:54:37:929000	559	A3JSU8FCFPXZPE	B	8	8	keep
1	2015-06-25 17:02:31:657000	560	pepa.tsenkova	A	-10	-10	keep
1	2015-06-25 17:57:37:192000	560	A2KH7SE6NBL2WQ	A	-10	-10	keep
1	2015-06-28 16:04:32:424000	560	A1TNAGP7EP3051	C	8	8	keep
1	2015-06-28 16:09:24:619000	560	AWPPIW21DGL29	B	9	9	keep
1	2015-06-28 16:28:18:252000	560	ADVZAZ12Z8N9J	A	-10	-10	keep
1	2015-06-28 16:37:46:004000	560	A3B1TMUY2L187E	A	-10	-10	keep
1	2015-06-28 16:55:44:038000	560	A1NJ0J3SCP668A	A	-10	-10	keep
1	2015-06-25 17:00:08:970000	561	i6rtysgdfjtrhdgf	A	8	8	keep
1	2015-06-28 16:02:31:741000	561	A1DUH3RLI00YQM	A	8	8	keep
1	2015-06-28 16:10:08:597000	561	A37AJI03M37NPJ	A	15	15	keep
1	2015-06-28 16:17:28:531000	561	A2YNN8T8ROWHES	A	8	8	keep
1	2015-06-28 16:32:03:085000	561	A2FW4EDFF6H40P	B	9	9	keep
1	2015-06-28 17:15:34:671000	561	A2JG1NAFYN2PMJ	C	-10	-10	keep
1	2015-06-25 17:01:42:510000	562	tjsdrsfgv`shaer	A	8	8	keep
1	2015-06-25 17:59:03:501000	562	A1KGCOR8OXYR72	A	8	8	keep
1	2015-06-28 16:03:21:772000	562	AOCX1V412ZRFC	B	-10	-10	keep
1	2015-06-28 16:07:31:165000	562	A2RR3B1I2Z7NS7	B	-10	-10	keep
1	2015-06-28 16:30:19:521000	562	A3IMND1XWD1O98	B	-10	-10	keep
1	2015-06-28 17:04:12:321000	562	A18MC27WTCEBA2	C	9	9	keep
1	2015-06-28 17:05:12:940000	562	A1ZPF2GZ6PHBDA	B	-10	-10	keep
1	2015-06-25 17:03:30:218000	563	7685syrthfj45	B	8	8	keep
1	2015-06-25 18:00:40:580000	563	A1C0P72V4V16QN	A	9	9	keep
1	2015-06-28 16:07:41:878000	563	A24F80I9XHQP03	A	9	9	keep
1	2015-06-28 16:17:58:897000	563	A2LQIMNL9U9KN7	B	8	8	keep
1	2015-06-28 16:33:08:175000	563	A139DFNZS0I9RB	C	-10	-10	keep
1	2015-06-28 17:04:23:524000	563	A38PKJM1ZRMDT8	B	8	8	keep
1	2015-06-25 17:05:05:627000	564	rtjursateyg	C	8	8	keep
1	2015-06-25 17:05:05:629000	564	rtjursateyg	C	14	14	keep
1	2015-06-25 18:02:36:955000	564	AD2JL6BFSL5UF	C	8	8	keep
1	2015-06-28 16:02:28:413000	564	A1QUNP6IYOQMZ5	A	9	9	keep
1	2015-06-28 16:08:07:087000	564	A1YM0IWPC72J7V	A	9	9	keep
1	2015-06-28 16:18:08:275000	564	A99PQSI7FTY50	B	-10	-10	keep
1	2015-06-28 16:30:48:917000	564	wat	C	8	8	keep
1	2015-06-28 17:10:41:738000	564	A17KZPGCY7PACK	A	9	9	keep
1	2015-06-25 17:06:07:713000	565	ktrthkrst97564	B	8	8	keep
1	2015-06-25 18:15:05:825000	565	A3W4QQ3FSGV3ID	A	-10	-10	keep
1	2015-06-28 16:04:51:876000	565	A2V2I8HXL9EHQ1	B	8	8	keep
1	2015-06-28 16:07:40:307000	565	A38A3MULFDOZ69	A	-10	-10	keep
1	2015-06-28 16:16:34:631000	565	A10T9C9WY488DY	B	8	8	keep
1	2015-06-28 16:33:41:451000	565	A39RGARQZH9C9J	C	9	9	keep
1	2015-06-28 17:08:46:917000	565	A1TK0ZMZ571GG0	C	9	9	keep
1	2015-06-25 17:08:00:628000	566	t675e6trklusreth93	C	8	8	keep
1	2015-06-25 18:11:17:977000	566	A3RD1GEZTSDS4X	C	8	8	keep
1	2015-06-28 16:01:15:019000	566	A3ICWVGCEDRXS0	A	-10	-10	keep
1	2015-06-28 16:08:08:057000	566	A382OV019QLW6H	A	-10	-10	keep
1	2015-06-28 16:15:44:674000	566	A17M0M8JML4I4G	B	9	9	keep
1	2015-06-28 16:31:54:309000	566	A28PS7TGEQCFT4	B	9	9	keep
1	2015-06-28 17:15:40:399000	566	A26X054UJOBN6K	A	-10	-10	keep
1	2015-06-25 18:33:04:162000	567	A1S7H2HZ5NAS3H	C	-28	-28	keep
1	2015-06-28 16:02:01:505000	567	A1SZ6HYKSDYGEV	C	-28	-28	keep
1	2015-06-28 16:14:21:986000	567	A2UHK8HUXXMSVM	A	-20	-20	keep
1	2015-06-28 16:20:10:259000	567	A249KXEUUGKIXD	B	-11	-11	keep
1	2015-06-28 16:32:57:343000	567	A8Q4T87YRWY89	A	-20	-20	keep
1	2015-06-25 17:30:19:422000	568	A2OSXVGQUR6IL6	B	-28	-28	keep
1	2015-06-25 18:46:02:228000	568	A195MOXRMNHRVT	A	-20	-20	keep
1	2015-06-25 18:46:02:242000	568	A195MOXRMNHRVT	A	13	13	keep
1	2015-06-28 16:01:58:483000	568	A2HV9CYJH2IQYE	B	-28	-28	keep
1	2015-06-28 16:08:59:892000	568	A3F0NFNLOLFJT0	B	-28	-28	keep
1	2015-06-28 16:17:54:267000	568	A36O6HV8LCXLJR	C	-11	-11	keep
1	2015-06-28 16:32:32:271000	568	A324FQ64NCN2YS	B	-28	-28	keep
1	2015-06-28 17:22:12:725000	568	A2TJVARJ3154YE	A	-20	-20	keep
1	2015-06-25 17:30:03:339000	569	AFWKRID53R1XA	B	-20	-20	keep
1	2015-06-25 18:44:34:470000	569	AEY0183LLRYUX	B	-20	-20	keep
1	2015-06-28 16:03:32:503000	569	ARQA90W3DRJCB	B	-20	-20	keep
1	2015-06-28 16:08:48:218000	569	A1J9E3GO9MDB1J	B	-20	-20	keep
1	2015-06-28 16:16:44:219000	569	A1LVAHYYH7TGN2	B	-20	-20	keep
1	2015-06-28 16:16:44:213000	569	A1LVAHYYH7TGN2	A	-29	-29	keep
1	2015-06-28 16:16:44:288000	569	A1LVAHYYH7TGN2	B	-25	-25	keep
1	2015-06-28 17:21:27:512000	569	A2PF32ET8Z1YEB	A	-11	-11	keep
1	2015-06-25 17:31:01:511000	570	A1TAY5098KV4NN	A	-11	-11	keep
1	2015-06-25 18:48:59:260000	570	AC5UD8N187QD6	B	-28	-28	keep
1	2015-06-28 16:06:38:218000	570	A2K0ZIL8MS0N3E	A	-11	-11	keep
1	2015-06-28 16:17:02:965000	570	A1T3LMVKIUR9OE	A	-11	-11	keep
1	2015-06-28 16:36:28:735000	570	AL34XQQW441B2	B	-28	-28	keep
1	2015-06-28 17:27:11:251000	570	A190VSP1NFNBR9	B	-28	-28	keep
1	2015-06-25 17:31:17:657000	571	A266KTWY0HBD2F	B	-20	-20	keep
1	2015-06-25 18:55:53:620000	571	A1LBG9MI3ODUZX	A	-28	-28	keep
1	2015-06-28 16:00:41:693000	571	A1OXO6ZJI14IWZ	C	-11	-11	keep
1	2015-06-28 16:08:26:069000	571	AI4NNFCA7YVGP	A	-28	-28	keep
1	2015-06-28 16:20:49:203000	571	A3VO3NT62HDMQ9	A	-28	-28	keep
1	2015-06-28 16:34:56:967000	571	A2KA1H6AA3Y80G	B	-20	-20	keep
1	2015-06-28 17:27:27:712000	571	A20IA63WXHF683	B	-20	-20	keep
1	2015-06-25 17:30:58:769000	572	A22ZVWOXT5JNNU	B	-11	-11	keep
1	2015-06-28 16:01:49:038000	572	A1FFZDNSXL5MXF	B	-11	-11	keep
1	2015-06-28 16:20:03:030000	572	A1KBGTQEVTVMJU	B	-11	-11	keep
1	2015-06-28 16:34:44:687000	572	A3RGDXZ76VHKZG	B	-11	-11	keep
1	2015-06-25 17:30:57:681000	573	AA0QKSSEQ0B6Q	B	-11	-11	keep
1	2015-06-25 18:58:57:695000	573	A1P1K4M8P9EQ5T	B	-11	-11	keep
1	2015-06-28 16:03:19:876000	573	A9MJVJAMLCDMV	B	-11	-11	keep
1	2015-06-28 16:08:33:980000	573	A2W547SNOCMC25	A	-20	-20	keep
1	2015-06-28 16:17:32:167000	573	A1O2D67U4IBFS7	A	-20	-20	keep
1	2015-06-28 16:33:51:356000	573	A711OL0JT1XWB	A	-20	-20	keep
1	2015-06-28 17:33:31:649000	573	A3J9ORWWVZCEOI	B	-29	-29	keep
1	2015-06-28 17:33:31:646000	573	A3J9ORWWVZCEOI	A	-20	-20	keep
1	2015-06-28 17:33:31:675000	573	A3J9ORWWVZCEOI	B	-20	-20	keep
1	2015-06-25 17:32:41:847000	575	A263CRI673K4QG	A	-20	-20	keep
