"workerid"	"gameid"	"lfdn"	"lastpage"	"duration"	"conditionNr"	"rand01"	"rand02"	"rand03"	"informedConsent"	"instrClear"	"bugs"	"howdifficult"	"peekdifferent"	"change"	"hotCold"	"takenotes"	"usecalculator"	"otherhelp"	"bimp_01"	"bimp_02"	"bimp_03"	"bimp_04"	"bimp_05"	"bimp_06"	"bimp_07"	"bimp_08"	"bimp_09"	"bimp_10"	"bimp_11"	"bimp_12"	"bimp_13"	"bimp_14"	"bimp_15"	"bimp_16"	"bimp_17"	"bimp_18"	"bimp_21"	"bimp_22"	"bimp_23"	"bimp_24"	"bimp_25"	"bimp_28"	"bimp_30"	"bimp_31"	"bimp_32"	"bimp_33"	"bimp_34"	"v_529"	"max_nen_01"	"max_nen_02"	"max_nen_03"	"max_nen_04"	"max_nen_05"	"max_nen_06"	"takerisks"	"ant1"	"ant2"	"ant3"	"ant4"	"sex"	"age"	"education"	"attentionCheck"	"trustdata"	"readinstructions"	"doublepart"	"bis"	"maximizing"	"ant.score"	"HITId"	"conditionNr.c"	"n.options"	"option.sd"	"environment"	"game.type"	"g1.n.keeps"	"g1.n.peeks"	"g1.n.trials"	"g1.final.points"	"g2.n.keeps"	"g2.n.peeks"	"g2.n.trials"	"g2.final.points"	"all.points"	"game1.reward"	"game2.reward"	"all.reward"	"n.peeks.d"	"all.points.d"
"1"	"A0458416JKGTCUH0UI04"	641	222	3471304	1040	7	930	717	693	1	1	1	1	-77	2	1	1	1	1	4	2	3	3	1	3	4	4	4	4	1	4	4	2	4	1	2	1	4	1	1	1	1	1	2	2	3	4	4	3	7	5	7	6	6	7	6	10	-77	-66	35	1	27	4	1	1	"-99"	FALSE	45	38	1	"3A9LA2FRWSF9DXUIUBNCCGRM428XHD"	7	4	5	3	"k"	100	0	100	35	100	0	100	-223	-188	0.035	0	0.04	0	-258
"2"	"A10096013FIWZSW77Y0E0"	638	303	3471304	1281	4	261	442	427	1	1	1	1	2	2	2	1	1	1	2	2	3	1	1	4	3	2	3	2	1	3	2	2	3	3	3	2	3	2	3	1	2	2	4	2	1	4	3	2	2	6	2	2	4	4	5	25	11	8	-77	1	30	4	1	1	"-99"	FALSE	66	20	3	"3A9LA2FRWSF9DXUIUBNCCGRM428XHD"	2	4	5	3	"ptk"	96	4	100	432	92	8	100	470	902	0.432	0.47	0.9	4	38
"3"	"A10PNVAP5YPG7V"	639	280	3471304	1242	5	121	238	730	1	1	1	1	-77	2	2	1	1	1	2	3	3	2	3	2	2	3	2	3	2	2	1	3	3	1	2	2	3	1	2	3	1	2	2	3	2	3	2	2	5	2	6	2	5	5	4	10	-77	-66	30	2	45	4	1	1	"-99"	FALSE	70	25	2	"3A9LA2FRWSF9DXUIUBNCCGRM428XHD"	5	2	5	1	"k"	100	0	100	325	100	0	100	477	802	0.325	0.477	0.8	0	152
"4"	"A10TPHPFQC4VE3"	636	301	3471304	1228	2	428	811	874	1	1	1	3	2	1	1	1	1	1	3	2	3	1	3	2	3	3	4	4	1	3	3	3	3	2	2	1	3	3	1	2	2	1	2	2	1	3	2	2	3	5	3	2	5	6	3	10	-77	-66	30	1	24	2	1	1	"-99"	FALSE	57	24	2	"3A9LA2FRWSF9DXUIUBNCCGRM428XHD"	2	2	20	2	"ptk"	94	6	100	225	100	0	100	357	582	0.225	0.357	0.58	-6	132
"5"	"A11E4KZZJMWA6Z"	635	384	3471304	680	1	608	862	585	1	1	1	1	3	2	2	1	1	1	4	3	3	3	2	2	3	2	4	2	2	2	3	3	2	2	2	3	3	2	3	3	3	2	3	3	2	2	2	2	4	4	4	3	5	3	3	25	20	-66	-77	2	30	3	3	1	"I read the instructions"	FALSE	74	23	4	"3A9LA2FRWSF9DXUIUBNCCGRM428XHD"	1	2	5	1	"ptk"	100	0	100	294	100	0	100	474	768	0.294	0.474	0.77	0	180
"6"	"A11RF5IYJQL5B"	654	359	3471304	1072	12	990	879	427	1	2	1	4	2	3	2	2	2	1	3	2	2	2	1	3	3	3	3	3	3	2	2	3	3	3	2	2	2	2	2	2	3	3	3	3	3	3	3	3	5	4	3	3	4	4	4	40	-77	-66	16	1	30	5	3	1	"-99"	FALSE	72	23	1	"3A9LA2FRWSF9DXUIUBNCCGRM428XHD"	12	4	20	4	"pak"	53	47	100	56	68	32	100	-97	-41	0.056	0	0.06	-15	-153
"7"	"A11S8IAAVDXCUS"	654	155	3471304	3023	12	319	238	131	1	1	1	1	3	3	2	1	1	1	3	2	2	1	2	3	3	3	3	3	2	3	3	1	3	1	2	2	3	1	2	1	2	1	2	1	1	3	3	2	6	5	7	6	5	5	2	25	20	-66	-77	2	25	3	3	1	"I read the instructions"	FALSE	53	34	4	"3FHTJGYT8N1Q4SXGOEVDX3TIN2QGPB"	12	4	20	4	"pak"	100	0	100	127	95	5	100	-37	90	0.127	0	0.13	5	-164
"8"	"A128BUMKWWS54Z"	653	418	3471304	680	11	801	320	899	1	1	1	2	2	2	1	1	1	1	3	1	2	3	1	1	3	3	3	2	1	3	3	1	3	1	1	1	3	2	1	1	1	2	1	1	1	3	3	1	2	6	2	2	5	4	2	10	-77	-66	25	1	32	5	1	1	"I read the instructions"	FALSE	47	21	1	"3A9LA2FRWSF9DXUIUBNCCGRM428XHD"	11	4	5	3	"pak"	75	25	100	335	92	8	100	462	797	0.335	0.462	0.8	-17	127
"9"	"A12L49XOTAS4H8"	660	467	3493735	2110	4	351	111	304	1	1	1	3	1	2	2	1	1	1	3	1	3	3	1	1	3	4	4	4	2	3	4	1	2	1	1	1	3	1	1	1	1	1	1	3	1	4	4	1	1	5	1	1	6	6	5	10	-77	-66	30	2	41	4	3	1	"I read instructions"	FALSE	43	20	2	"3XEIP58NL0O04ODNMEQV1T04TKLLZD"	4	4	20	4	"ptk"	99	1	100	-156	99	1	100	-131	-287	0	0	0	0	25
"10"	"A14NP6X071S7GK"	638	423	3471304	758	4	356	283	248	1	1	1	1	2	3	2	1	1	1	4	2	2	4	2	3	4	3	3	2	1	4	3	2	4	2	2	1	4	1	3	2	2	3	2	2	1	4	4	2	5	6	3	6	7	6	6	10	-77	-66	25	1	28	3	3	1	"I read the instructions"	FALSE	55	33	1	"3A9LA2FRWSF9DXUIUBNCCGRM428XHD"	2	4	5	3	"ptk"	100	0	100	224	100	0	100	426	650	0.224	0.426	0.65	0	202
