gameid	order	A	B	C	D	E	F
714	1	0	-20	0	0	0	0
714	2	15	-17	0	0	0	0
714	3	19	-18	0	0	0	0
714	4	-2	-22	0	0	0	0
714	5	4	-11	0	0	0	0
714	6	3	16	0	0	0	0
714	7	-11	-12	0	0	0	0
714	8	11	-7	0	0	0	0
714	9	14	-8	0	0	0	0
714	10	-2	-13	0	0	0	0
714	11	9	6	0	0	0	0
714	12	23	-2	0	0	0	0
714	13	6	-10	0	0	0	0
714	14	8	7	0	0	0	0
714	15	15	2	0	0	0	0
714	16	-19	15	0	0	0	0
714	17	23	-7	0	0	0	0
714	18	-9	-17	0	0	0	0
714	19	20	-14	0	0	0	0
714	20	10	14	0	0	0	0
714	21	11	17	0	0	0	0
714	22	13	-1	0	0	0	0
714	23	-1	2	0	0	0	0
714	24	-3	-7	0	0	0	0
714	25	5	-7	0	0	0	0
714	26	1	-11	0	0	0	0
714	27	31	-10	0	0	0	0
714	28	10	-7	0	0	0	0
714	29	1	-11	0	0	0	0
714	30	-9	15	0	0	0	0
714	31	2	-15	0	0	0	0
714	32	5	-25	0	0	0	0
714	33	-18	-15	0	0	0	0
714	34	26	-2	0	0	0	0
714	35	-15	3	0	0	0	0
714	36	24	-4	0	0	0	0
714	37	4	2	0	0	0	0
714	38	6	7	0	0	0	0
714	39	16	-18	0	0	0	0
714	40	13	1	0	0	0	0
714	41	0	3	0	0	0	0
714	42	19	-20	0	0	0	0
714	43	9	-12	0	0	0	0
714	44	4	-10	0	0	0	0
714	45	-7	1	0	0	0	0
714	46	-16	-13	0	0	0	0
714	47	-12	4	0	0	0	0
714	48	16	16	0	0	0	0
714	49	12	-3	0	0	0	0
714	50	3	14	0	0	0	0
714	51	1	-20	0	0	0	0
714	52	-4	26	0	0	0	0
714	53	1	-14	0	0	0	0
714	54	-1	-12	0	0	0	0
714	55	20	15	0	0	0	0
714	56	13	1	0	0	0	0
714	57	-13	-19	0	0	0	0
714	58	-13	15	0	0	0	0
714	59	-12	-31	0	0	0	0
714	60	9	-6	0	0	0	0
714	61	25	-22	0	0	0	0
714	62	-5	-8	0	0	0	0
714	63	11	8	0	0	0	0
714	64	-12	11	0	0	0	0
714	65	-14	0	0	0	0	0
714	66	17	-13	0	0	0	0
714	67	-7	-13	0	0	0	0
714	68	-4	-21	0	0	0	0
714	69	20	-26	0	0	0	0
714	70	-23	-1	0	0	0	0
714	71	3	-8	0	0	0	0
714	72	17	10	0	0	0	0
714	73	-6	0	0	0	0	0
714	74	5	-5	0	0	0	0
714	75	17	-2	0	0	0	0
714	76	3	1	0	0	0	0
714	77	12	-22	0	0	0	0
714	78	-11	8	0	0	0	0
714	79	5	4	0	0	0	0
714	80	22	-6	0	0	0	0
714	81	14	-1	0	0	0	0
714	82	16	-28	0	0	0	0
714	83	-8	-5	0	0	0	0
714	84	23	-3	0	0	0	0
714	85	12	-3	0	0	0	0
714	86	1	-13	0	0	0	0
714	87	39	-2	0	0	0	0
714	88	4	12	0	0	0	0
714	89	8	2	0	0	0	0
714	90	5	12	0	0	0	0
714	91	1	-1	0	0	0	0
714	92	16	8	0	0	0	0
714	93	-3	-3	0	0	0	0
714	94	-26	-24	0	0	0	0
714	95	10	-22	0	0	0	0
714	96	-2	1	0	0	0	0
714	97	5	-24	0	0	0	0
714	98	14	-19	0	0	0	0
714	99	0	-7	0	0	0	0
714	100	9	-5	0	0	0	0
715	1	20	-1	-14	5	0	0
715	2	-4	2	-12	-17	0	0
715	3	15	-9	-2	-8	0	0
715	4	-6	-8	-10	10	0	0
715	5	1	-11	-10	-17	0	0
715	6	-11	19	4	6	0	0
715	7	5	-15	-12	2	0	0
715	8	3	5	-20	0	0	0
715	9	-5	-10	-1	-10	0	0
715	10	-10	-22	-3	-7	0	0
715	11	1	14	-4	1	0	0
715	12	-2	-25	-5	-18	0	0
715	13	-4	-20	-6	-6	0	0
715	14	6	9	-7	4	0	0
715	15	7	-3	-20	-4	0	0
715	16	-9	-18	3	-1	0	0
715	17	-7	-17	-15	22	0	0
715	18	0	-30	10	-15	0	0
715	19	23	-17	2	-21	0	0
715	20	6	-4	16	-12	0	0
715	21	23	-2	-14	-7	0	0
715	22	9	-24	20	25	0	0
715	23	-12	-7	3	-11	0	0
715	24	19	-6	-6	-9	0	0
715	25	11	2	-5	-14	0	0
715	26	2	-7	11	5	0	0
715	27	1	12	2	-21	0	0
715	28	-26	-10	1	-5	0	0
715	29	-5	1	-28	-17	0	0
715	30	-3	-5	-19	-1	0	0
715	31	12	6	-12	-11	0	0
715	32	9	-20	-6	-20	0	0
715	33	-9	-3	-28	-15	0	0
715	34	22	11	-25	-28	0	0
715	35	5	-3	8	2	0	0
715	36	-9	-21	-7	-2	0	0
715	37	14	14	-1	-23	0	0
715	38	14	5	1	-18	0	0
715	39	11	-33	-5	-13	0	0
715	40	4	-21	4	-5	0	0
715	41	18	-1	-5	-11	0	0
715	42	-7	-1	-3	-5	0	0
715	43	14	15	10	-3	0	0
715	44	14	11	8	-4	0	0
715	45	0	17	-7	-11	0	0
715	46	-1	-32	-25	-21	0	0
715	47	6	11	2	-7	0	0
715	48	6	2	1	-5	0	0
715	49	7	-14	2	-15	0	0
715	50	0	7	8	1	0	0
715	51	18	-6	-8	19	0	0
715	52	-3	5	-13	-11	0	0
715	53	-19	-6	-10	2	0	0
715	54	-10	5	-10	4	0	0
715	55	-21	-13	25	9	0	0
715	56	-5	-7	6	7	0	0
715	57	-4	1	1	-15	0	0
715	58	9	-19	-13	-9	0	0
715	59	16	-7	-15	4	0	0
715	60	11	-3	5	-33	0	0
715	61	21	-11	3	4	0	0
715	62	3	16	-4	9	0	0
715	63	-7	-19	-9	-12	0	0
715	64	2	-1	-6	-13	0	0
715	65	6	-24	-3	1	0	0
715	66	21	-29	-6	8	0	0
715	67	-1	4	-5	4	0	0
715	68	1	-13	8	0	0	0
715	69	13	-7	1	-13	0	0
715	70	15	-23	-18	-5	0	0
715	71	4	-3	-10	8	0	0
715	72	14	13	-6	5	0	0
715	73	13	0	1	-14	0	0
715	74	12	-4	-6	6	0	0
715	75	19	-7	-13	-35	0	0
715	76	2	5	-2	-6	0	0
715	77	10	-18	-13	16	0	0
715	78	5	-7	-9	-3	0	0
715	79	-13	10	-32	3	0	0
715	80	31	-11	-8	-31	0	0
715	81	14	-16	-10	-2	0	0
715	82	23	0	4	-8	0	0
715	83	28	-8	7	7	0	0
715	84	5	11	-9	-7	0	0
715	85	-7	-7	-14	1	0	0
715	86	3	1	-8	8	0	0
715	87	22	3	7	-10	0	0
715	88	-7	-11	0	-3	0	0
715	89	5	-5	-26	-1	0	0
715	90	9	-28	7	1	0	0
715	91	-1	-17	8	-3	0	0
715	92	14	11	-4	-8	0	0
715	93	9	-27	-2	-18	0	0
715	94	2	-4	-20	-6	0	0
715	95	0	-8	-4	-5	0	0
715	96	2	10	12	-21	0	0
715	97	25	26	-22	16	0	0
715	98	10	-12	-7	7	0	0
715	99	-7	5	-19	-4	0	0
715	100	10	11	-9	3	0	0
716	1	22	-14	-16	-21	15	4
716	2	-13	-15	-21	-10	10	-12
716	3	16	-10	-5	-11	-1	18
716	4	6	-23	-22	-5	-16	-6
716	5	-6	-23	36	-2	3	-14
716	6	5	-5	-9	-2	2	-9
716	7	10	-14	5	-17	-23	-12
716	8	9	-11	-3	-25	-14	-5
716	9	15	2	16	-10	-21	4
716	10	3	-16	20	-19	1	-33
