gameid	order	A	B	C	D	E	F
689	1	20	-14	0	0	0	0
689	2	5	-7	0	0	0	0
689	3	1	-14	0	0	0	0
689	4	14	3	0	0	0	0
689	5	3	-11	0	0	0	0
689	6	-10	-27	0	0	0	0
689	7	4	9	0	0	0	0
689	8	3	6	0	0	0	0
689	9	11	16	0	0	0	0
689	10	0	-3	0	0	0	0
689	11	-2	-4	0	0	0	0
689	12	-6	-20	0	0	0	0
689	13	5	2	0	0	0	0
689	14	9	13	0	0	0	0
689	15	3	-14	0	0	0	0
689	16	2	-10	0	0	0	0
689	17	16	1	0	0	0	0
689	18	-9	2	0	0	0	0
689	19	16	-12	0	0	0	0
689	20	22	-3	0	0	0	0
689	21	1	-2	0	0	0	0
689	22	3	-5	0	0	0	0
689	23	13	-11	0	0	0	0
689	24	-8	-17	0	0	0	0
689	25	-2	1	0	0	0	0
689	26	13	-6	0	0	0	0
689	27	-6	-2	0	0	0	0
689	28	13	7	0	0	0	0
689	29	13	-2	0	0	0	0
689	30	0	-2	0	0	0	0
689	31	-2	7	0	0	0	0
689	32	10	6	0	0	0	0
689	33	-8	-20	0	0	0	0
689	34	10	-3	0	0	0	0
689	35	6	7	0	0	0	0
689	36	-2	-10	0	0	0	0
689	37	15	-5	0	0	0	0
689	38	9	-10	0	0	0	0
689	39	-16	-10	0	0	0	0
689	40	4	23	0	0	0	0
689	41	19	-3	0	0	0	0
689	42	0	-15	0	0	0	0
689	43	19	-18	0	0	0	0
689	44	8	-8	0	0	0	0
689	45	-2	-2	0	0	0	0
689	46	-15	-5	0	0	0	0
689	47	7	4	0	0	0	0
689	48	5	-9	0	0	0	0
689	49	0	-8	0	0	0	0
689	50	11	-25	0	0	0	0
689	51	20	-9	0	0	0	0
689	52	5	-11	0	0	0	0
689	53	15	-17	0	0	0	0
689	54	1	-4	0	0	0	0
689	55	33	-23	0	0	0	0
689	56	5	-8	0	0	0	0
689	57	10	1	0	0	0	0
689	58	-1	-6	0	0	0	0
689	59	18	13	0	0	0	0
689	60	5	-6	0	0	0	0
689	61	-10	-1	0	0	0	0
689	62	2	-3	0	0	0	0
689	63	11	-5	0	0	0	0
689	64	22	-15	0	0	0	0
689	65	19	-7	0	0	0	0
689	66	-12	-16	0	0	0	0
689	67	3	9	0	0	0	0
689	68	-17	-16	0	0	0	0
689	69	19	-13	0	0	0	0
689	70	14	3	0	0	0	0
689	71	16	-14	0	0	0	0
689	72	-7	4	0	0	0	0
689	73	-5	-19	0	0	0	0
689	74	22	-1	0	0	0	0
689	75	-11	-18	0	0	0	0
689	76	-13	19	0	0	0	0
689	77	12	3	0	0	0	0
689	78	-12	13	0	0	0	0
689	79	17	-8	0	0	0	0
689	80	5	-9	0	0	0	0
689	81	9	3	0	0	0	0
689	82	16	-14	0	0	0	0
689	83	2	1	0	0	0	0
689	84	26	-16	0	0	0	0
689	85	7	-4	0	0	0	0
689	86	4	-21	0	0	0	0
689	87	-21	10	0	0	0	0
689	88	10	-17	0	0	0	0
689	89	-7	-8	0	0	0	0
689	90	-10	-23	0	0	0	0
689	91	7	2	0	0	0	0
689	92	7	0	0	0	0	0
689	93	1	-15	0	0	0	0
689	94	4	-20	0	0	0	0
689	95	15	0	0	0	0	0
689	96	10	0	0	0	0	0
689	97	-3	-4	0	0	0	0
689	98	4	1	0	0	0	0
689	99	-8	3	0	0	0	0
689	100	12	12	0	0	0	0
690	1	5	-15	-4	-9	0	0
690	2	-15	-11	-8	-19	0	0
690	3	-3	2	1	4	0	0
690	4	0	5	-2	-6	0	0
690	5	-13	-18	-7	-2	0	0
690	6	4	-8	-9	-7	0	0
690	7	14	-4	5	-10	0	0
690	8	8	-17	-6	-2	0	0
690	9	-6	-6	-1	-20	0	0
690	10	-4	-5	-11	-6	0	0
690	11	0	3	21	-8	0	0
690	12	23	-6	-14	-7	0	0
690	13	7	-9	-11	-10	0	0
690	14	5	-22	-8	-29	0	0
690	15	6	0	0	-3	0	0
690	16	12	16	-17	-10	0	0
690	17	3	6	-20	-15	0	0
690	18	8	-16	-11	15	0	0
690	19	15	-11	-2	10	0	0
690	20	8	19	-15	-9	0	0
690	21	-9	-19	1	5	0	0
690	22	0	-16	-7	-5	0	0
690	23	3	5	-14	6	0	0
690	24	26	1	4	10	0	0
690	25	7	9	-1	-4	0	0
690	26	19	-1	-13	-12	0	0
690	27	5	-1	8	-16	0	0
690	28	21	-16	-12	-12	0	0
690	29	1	-17	-4	11	0	0
690	30	4	0	0	1	0	0
690	31	1	-4	-13	-4	0	0
690	32	-9	-2	-11	-10	0	0
690	33	-11	-13	4	-11	0	0
690	34	9	12	-18	0	0	0
690	35	3	-6	-20	-7	0	0
690	36	2	0	6	-12	0	0
690	37	8	-25	10	3	0	0
