lfdn	lastpage	duration	conditionNr	rand01	rand02	rand03	informedConsent	workerid	instrClear	bugs	howdifficult	hotCold	v_551	takenotes	usecalculator	otherhelp	ant1	ant2	ant3	ant4	sex	age	education	attentionCheck	trustdata	readinstructions
1	3645648	734	2	324	626	259	1	uyfjtdhrszdgn	1	1	4	2	-77	1	1	1	50	-77	-66	20	2	56	2	1	1	-99
2	3645648	1192	3	308	862	589	1	sdf	1	1	2	2	-77	1	1	1	25	20	-66	-77	1	24	3	3	1	I read the instructions
4	3645648	2855	5	343	968	115	1	hans	2	2	2	2	-77	2	1	2	25	20	-66	-77	1	99	6	3	2	I know this test.
5	3645628	37	6	-77	-77	-77	1	tjyfdrher`sf	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-66	-77	-77	-77	-77	-77	-77	-66
6	3645648	1527	7	173	759	477	1	Tamara	1	1	2	1	-77	1	1	1	10	-77	-66	30	2	26	5	2	1	-99
7	3645628	302	8	-77	-77	-77	1	647586285	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-66	-77	-77	-77	-77	-77	-77	-66
8	3645626	4	9	-77	-77	-77	1	fcgynarmzfhx	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-66	-77	-77	-77	-77	-77	-77	-66
10	3645626	3	2	-77	-77	-77	1	jdtzgn	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-66	-77	-77	-77	-77	-77	-77	-66
11	3647236	1915	3	-77	-77	-77	1	23546835	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-66	-77	-77	-77	-77	-77	-77	-66
12	3645628	39	4	-77	-77	-77	1	adhere	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-66	-77	-77	-77	-77	-77	-77	-66
13	3645648	1145	5	363	898	599	1	A14BSSXMEM9PTD	1	1	3	2	-77	1	1	1	25	20	-66	-77	2	28	5	3	1	I read the instructions
14	3645648	1417	6	293	599	217	1	A19LTHK3TA57SF	1	1	4	2	-77	1	1	1	20	-77	-66	26	2	35	5	2	1	-99
15	3645648	2710	7	822	955	411	1	A1FOTRH3UJMKTS	1	1	2	1	-77	1	1	1	10	-77	-66	30	1	29	5	3	1	I read the instructions
16	3645648	1275	8	419	433	810	1	AQL960O0LTRI8	1	1	2	2	-77	1	1	1	25	21	4	-77	1	40	2	1	1	-99
17	3645626	8	9	-77	-77	-77	1	A1T9IKE8GV4LR4	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-66	-77	-77	-77	-77	-77	-77	-66
19	3645648	660	2	614	817	343	1	A3E1WUFVA5HA3A	1	1	1	1	-77	1	1	1	30	-77	-66	20	1	25	4	1	1	-99
