"trial.c"	"condition.mode"	"condition.difficulty"	"condition.stability"	"total.mean"	"total.median"	"peek.mean"	"outcome.mean"	"outcome.median"	"optionswitch.mean"	"modeswitch.mean"
"1"	1	"keep"	"easy"	"dynamic"	1.76744186046512	8	1	1.76744186046512	8	NA	NA
"2"	1	"keep"	"easy"	"stable"	1.23809523809524	8	1	1.23809523809524	8	NA	NA
"3"	1	"keep"	"hard"	"dynamic"	-20.8275862068966	-20	1	-20.8275862068966	-20	NA	NA
"4"	1	"keep"	"hard"	"stable"	-19.9473684210526	-20	1	-19.9473684210526	-20	NA	NA
"5"	1	"peek"	"easy"	"dynamic"	0.540540540540541	0	0.378378378378378	1.27027027027027	8	NA	NA
"6"	1	"peek"	"easy"	"stable"	0.842105263157895	0	0.210526315789474	2.86842105263158	8	NA	NA
"7"	1	"peek"	"hard"	"dynamic"	-3.86842105263158	0	0.184210526315789	-19.4736842105263	-20	NA	NA
"8"	1	"peek"	"hard"	"stable"	-6.39024390243902	0	0.292682926829268	-19.6829268292683	-20	NA	NA
"9"	2	"keep"	"easy"	"dynamic"	-2.37209302325581	4	1	-4.13953488372093	1	0.720930232558139	0
"10"	2	"keep"	"easy"	"stable"	-4.38095238095238	4	1	-5.61904761904762	1	0.714285714285714	0
"11"	2	"keep"	"hard"	"dynamic"	-32.5185185185185	-40	1	-12.6666666666667	-20	0.807692307692308	0
"12"	2	"keep"	"hard"	"stable"	-29.3421052631579	-40	1	-10.6842105263158	-20	0.75	0
"13"	2	"peek"	"easy"	"dynamic"	0.72972972972973	0	0.594594594594595	-1.72972972972973	1	0.8	0.342857142857143
"14"	2	"peek"	"easy"	"stable"	-1.39473684210526	0	0.394736842105263	-1.34210526315789	1	0.789473684210526	0.184210526315789
"15"	2	"peek"	"hard"	"dynamic"	-8.57894736842105	0	0.263157894736842	-13.7631578947368	-20	0.894736842105263	0.236842105263158
"16"	2	"peek"	"hard"	"stable"	-12.780487804878	0	0.414634146341463	-15.9024390243902	-20	0.829268292682927	0.317073170731707
"17"	3	"keep"	"easy"	"dynamic"	3.51162790697674	9	1	5.88372093023256	5	0.627906976744186	0
"18"	3	"keep"	"easy"	"stable"	3.0952380952381	11	1	7.47619047619048	9	0.642857142857143	0
"19"	3	"keep"	"hard"	"dynamic"	-55.0689655172414	-62	1	-24.1379310344828	-25	0.892857142857143	0
"20"	3	"keep"	"hard"	"stable"	-55.5526315789474	-62	1	-26.7368421052632	-25	0.648648648648649	0
"21"	3	"peek"	"easy"	"dynamic"	4.13513513513514	1	0.513513513513513	7.16216216216216	9	0.777777777777778	0.305555555555556
"22"	3	"peek"	"easy"	"stable"	0.789473684210526	0	0.289473684210526	7.23684210526316	9	0.815789473684211	0.421052631578947
"23"	3	"peek"	"hard"	"dynamic"	-17	0	0.315789473684211	-26.6315789473684	-25	0.894736842105263	0.368421052631579
"24"	3	"peek"	"hard"	"stable"	-22.1463414634146	-20	0.341463414634146	-26.2682926829268	-25	0.878048780487805	0.365853658536585
"25"	4	"keep"	"easy"	"dynamic"	11.6279069767442	18	1	8.11627906976744	9	0.558139534883721	0
"26"	4	"keep"	"easy"	"stable"	11.3333333333333	20	1	8.23809523809524	9	0.619047619047619	0
"27"	4	"keep"	"hard"	"dynamic"	-56.3333333333333	-48	1	2	-10	0.925925925925926	0
"28"	4	"keep"	"hard"	"stable"	-56.0789473684211	-61.5	1	-0.526315789473684	-10	0.763157894736842	0
"29"	4	"peek"	"easy"	"dynamic"	10.8648648648649	9	0.810810810810811	8.21621621621622	9	0.567567567567568	0.405405405405405
"30"	4	"peek"	"easy"	"stable"	7.05263157894737	9	0.736842105263158	8.36842105263158	9	0.526315789473684	0.657894736842105
"31"	4	"peek"	"hard"	"dynamic"	-21.7894736842105	-20	0.552631578947368	-4.26315789473684	-10	0.815789473684211	0.657894736842105
"32"	4	"peek"	"hard"	"stable"	-24.1951219512195	-20	0.51219512195122	1.75609756097561	-10	0.75609756097561	0.560975609756098
"33"	5	"keep"	"easy"	"dynamic"	17.4418604651163	24	1	5.81395348837209	-2	0.418604651162791	0
"34"	5	"keep"	"easy"	"stable"	15.8809523809524	20	1	4.54761904761905	-2	0.476190476190476	0
"35"	5	"keep"	"hard"	"dynamic"	-65.2758620689655	-61	1	-12.0689655172414	-14	0.689655172413793	0
"36"	5	"keep"	"hard"	"stable"	-66.7631578947368	-72	1	-10.6842105263158	-14	0.710526315789474	0
"37"	5	"peek"	"easy"	"dynamic"	16.4864864864865	18	0.621621621621622	7.16216216216216	15	0.567567567567568	0.405405405405405
"38"	5	"peek"	"easy"	"stable"	8	7	0.552631578947368	4.07894736842105	-2	0.815789473684211	0.342105263157895
"39"	5	"peek"	"hard"	"dynamic"	-26.2631578947368	-24.5	0.552631578947368	-10.4210526315789	-14	0.605263157894737	0.421052631578947
"40"	5	"peek"	"hard"	"stable"	-29.0243902439024	-20	0.365853658536585	-12.1463414634146	-14	0.75609756097561	0.48780487804878
"41"	6	"keep"	"easy"	"dynamic"	18.8372093023256	25	1	1.3953488372093	1	0.558139534883721	0
"42"	6	"keep"	"easy"	"stable"	16.4285714285714	21	1	0.547619047619048	1	0.666666666666667	0
"43"	6	"keep"	"hard"	"dynamic"	-66.3703703703704	-61	1	0.777777777777778	0	0.666666666666667	0
"44"	6	"keep"	"hard"	"stable"	-65.7105263157895	-69.5	1	1.05263157894737	0	0.657894736842105	0
"45"	6	"peek"	"easy"	"dynamic"	16	18	0.72972972972973	-0.216216216216216	1	0.675675675675676	0.216216216216216
"46"	6	"peek"	"easy"	"stable"	7.81578947368421	9	0.526315789473684	0.0526315789473684	1	0.657894736842105	0.236842105263158
"47"	6	"peek"	"hard"	"dynamic"	-25.7368421052632	-24	0.473684210526316	1.26315789473684	0	0.868421052631579	0.131578947368421
"48"	6	"peek"	"hard"	"stable"	-28.390243902439	-22	0.51219512195122	1.36585365853659	0	0.658536585365854	0.536585365853659
"49"	7	"keep"	"easy"	"dynamic"	3.06976744186047	3	1	-15.7674418604651	-26	0.581395348837209	0
"50"	7	"keep"	"easy"	"stable"	1.61904761904762	-5	1	-14.8095238095238	-26	0.571428571428571	0
"51"	7	"keep"	"hard"	"dynamic"	-83.1034482758621	-89	1	-18.551724137931	-35	0.517241379310345	0
"52"	7	"keep"	"hard"	"stable"	-83.5789473684211	-97.5	1	-17.8684210526316	-35	0.605263157894737	0
"53"	7	"peek"	"easy"	"dynamic"	9.89189189189189	9	0.567567567567568	-10.1621621621622	-26	0.621621621621622	0.27027027027027
"54"	7	"peek"	"easy"	"stable"	-4.5	-2	0.657894736842105	-19.3157894736842	-26	0.789473684210526	0.289473684210526
"55"	7	"peek"	"hard"	"dynamic"	-25.7368421052632	-24.5	0.631578947368421	-7.39473684210526	-35	0.526315789473684	0.368421052631579
