"n.bad"	"sd"	"n.peeks"	"final.impression.mad.mean"	"final.peek.prefer.best.mean"	"n"
"1"	1	5	0	5	0.4966	5000
"2"	1	5	5	3.44731010602237	0.9472	5000
"3"	1	5	10	2.24114794691571	0.994	5000
"4"	1	5	15	1.82504975264288	0.998	5000
"5"	1	5	20	1.57101936758032	0.9998	5000
"6"	1	5	25	1.40786148380113	1	5000
"7"	1	5	30	1.27635776519043	0.9998	5000
"8"	1	5	35	1.17349651670994	1	5000
"9"	1	5	40	1.10676508489143	1	5000
"10"	1	5	45	1.0328505790178	1	5000
"11"	1	5	50	0.985087386774642	1	5000
"12"	1	5	55	0.934487325579358	1	5000
"13"	1	5	60	0.889888981161667	1	5000
"14"	1	5	65	0.850640978634894	1	5000
"15"	1	5	70	0.832862734704044	1	5000
"16"	1	5	75	0.798907914304197	1	5000
"17"	1	5	80	0.766383154301587	1	5000
"18"	1	5	85	0.757344505468611	1	5000
"19"	1	5	90	0.725361809911411	1	5000
"20"	1	5	95	0.713066672867931	1	5000
"21"	1	5	100	0.697874528994163	1	5000
"22"	1	10	0	5	0.4958	5000
"23"	1	10	5	7.04730028572327	0.781	5000
"24"	1	10	10	4.53554604360877	0.8926	5000
"25"	1	10	15	3.56333459938126	0.943	5000
"26"	1	10	20	3.13071445276545	0.9612	5000
"27"	1	10	25	2.84219906966331	0.9742	5000
"28"	1	10	30	2.51126598639961	0.983	5000
"29"	1	10	35	2.3676303032989	0.9914	5000
"30"	1	10	40	2.17781353203848	0.9958	5000
"31"	1	10	45	2.09844142176602	0.995	5000
"32"	1	10	50	1.9501775436965	0.9974	5000
"33"	1	10	55	1.88575001669954	0.9988	5000
"34"	1	10	60	1.8178745018903	0.9988	5000
"35"	1	10	65	1.71715156094064	0.9992	5000
"36"	1	10	70	1.66397813782433	0.9988	5000
"37"	1	10	75	1.58771348426227	0.9998	5000
"38"	1	10	80	1.55332753772009	0.9998	5000
"39"	1	10	85	1.4902305363627	0.9998	5000
"40"	1	10	90	1.44778619595439	0.9998	5000
"41"	1	10	95	1.42549445574198	1	5000
"42"	1	10	100	1.39219711115986	1	5000
"43"	1	20	0	5	0.4962	5000
"44"	1	20	5	14.0413632375074	0.6546	5000
"45"	1	20	10	9.10702330840755	0.7312	5000
"46"	1	20	15	7.34373635508068	0.784	5000
"47"	1	20	20	6.2346522554082	0.8138	5000
"48"	1	20	25	5.61378266040036	0.847	5000
"49"	1	20	30	5.07614231566007	0.8666	5000
"50"	1	20	35	4.72304508038521	0.8902	5000
"51"	1	20	40	4.44786454765365	0.8934	5000
"52"	1	20	45	4.14880708443952	0.9194	5000
"53"	1	20	50	3.91134315490169	0.923	5000
"54"	1	20	55	3.73266848145669	0.9314	5000
"55"	1	20	60	3.55374384649397	0.9478	5000
"56"	1	20	65	3.47758625068677	0.9458	5000
"57"	1	20	70	3.31599999707252	0.9582	5000
"58"	1	20	75	3.23248590193944	0.9638	5000
"59"	1	20	80	3.09584113379471	0.9642	5000
"60"	1	20	85	3.00622636126817	0.9686	5000
"61"	1	20	90	2.93185258281763	0.9696	5000
"62"	1	20	95	2.82935108359359	0.973	5000
"63"	1	20	100	2.74236870620196	0.9808	5000
"64"	1	30	0	5	0.5142	5000
"65"	1	30	5	20.9990235764283	0.6048	5000
"66"	1	30	10	13.4093520114049	0.6578	5000
"67"	1	30	15	10.8132227772483	0.7032	5000
"68"	1	30	20	9.41005691922063	0.723	5000
"69"	1	30	25	8.29865489599361	0.7578	5000
"70"	1	30	30	7.65180464100964	0.7686	5000
"71"	1	30	35	7.0667073012757	0.7918	5000
"72"	1	30	40	6.57784944778572	0.8106	5000
"73"	1	30	45	6.28843651889054	0.8122	5000
"74"	1	30	50	5.84291389265784	0.832	5000
"75"	1	30	55	5.69449116064725	0.8356	5000
"76"	1	30	60	5.35584352679883	0.846	5000
"77"	1	30	65	5.14473634269845	0.8594	5000
"78"	1	30	70	4.98720339601713	0.8742	5000
"79"	1	30	75	4.88364667124218	0.8724	5000
"80"	1	30	80	4.66951505557542	0.8868	5000
"81"	1	30	85	4.54137857714278	0.9032	5000
"82"	1	30	90	4.32933811810836	0.9058	5000
"83"	1	30	95	4.29105556200397	0.9018	5000
"84"	1	30	100	4.13767545773533	0.9154	5000
"85"	2	5	0	5	0.3274	5000
"86"	2	5	5	3.99119835104275	0.8676	5000
"87"	2	5	10	2.80663630701308	0.956	5000
"88"	2	5	15	2.14782659268957	0.9906	5000
"89"	2	5	20	1.84882410700423	0.9966	5000
"90"	2	5	25	1.64383848600182	0.9986	5000
"91"	2	5	30	1.49570669803827	1	5000
"92"	2	5	35	1.36867905585781	1	5000
"93"	2	5	40	1.27291472434823	1	5000
"94"	2	5	45	1.20648154663906	1	5000
"95"	2	5	50	1.15030330381279	1	5000
"96"	2	5	55	1.08560942755396	1	5000
"97"	2	5	60	1.04161588376168	1	5000
"98"	2	5	65	1.00203310870505	1	5000
"99"	2	5	70	0.963403795061804	1	5000
"100"	2	5	75	0.933229696094134	1	5000
"101"	2	5	80	0.893917021202839	1	5000
