"n.bad"	"sd"	"n.peeks"	"total.points"
"1"	1	5	0	439.451332194265
"2"	2	5	0	423.939426396566
"3"	3	5	0	408.303078476533
"4"	4	5	0	397.707454989315
"5"	1	15	0	353.116244035927
"6"	2	15	0	251.104877238736
"7"	3	15	0	177.013410521559
"8"	4	15	0	121.413770986582
"9"	1	30	0	248.464171527076
"10"	2	30	0	120.183885782157
"11"	3	30	0	31.0793427475967
"12"	4	30	0	-30.2494477685436
"13"	1	60	0	201.375484038449
"14"	2	60	0	57.399389498778
"15"	3	60	0	-7.0012357312557
"16"	4	60	0	-48.6514551799979
"17"	1	5	5	424.944221536003
"18"	2	5	5	416.37141640366
"19"	3	5	5	407.593570347292
"20"	4	5	5	400.980854292101
"21"	1	15	5	352.40562808671
"22"	2	15	5	254.312044735229
"23"	3	15	5	184.615191890572
"24"	4	15	5	134.099307756015
"25"	1	30	5	253.113801290132
"26"	2	30	5	124.285356433693
"27"	3	30	5	43.5867590735322
"28"	4	30	5	-6.27710345873226
"29"	1	60	5	205.905154373141
"30"	2	60	5	63.4120245813427
"31"	3	60	5	7.17087459102927
"32"	4	60	5	-43.4548223805089
"33"	1	5	10	403.599053559409
"34"	2	5	10	403.795752439487
"35"	3	5	10	396.737354607334
"36"	4	5	10	386.212348119249
"37"	1	15	10	361.254455964754
"38"	2	15	10	287.909577599157
"39"	3	15	10	223.453304030324
"40"	4	15	10	155.103703430861
"41"	1	30	10	272.821836320176
"42"	2	30	10	149.065822472734
"43"	3	30	10	60.0620865420096
"44"	4	30	10	3.34187875131222
"45"	1	60	10	222.158100655309
"46"	2	60	10	111.736925941151
"47"	3	60	10	27.0611650521625
"48"	4	60	10	-13.3125550303342
"49"	1	5	15	382.5242685128
"50"	2	5	15	381.719180932311
"51"	3	5	15	382.143176062415
"52"	4	5	15	378.729950622271
"53"	1	15	15	352.816537569074
"54"	2	15	15	305.395396121367
"55"	3	15	15	243.9115186957
"56"	4	15	15	196.500459634366
"57"	1	30	15	277.766701798519
"58"	2	30	15	168.620412045502
"59"	3	30	15	93.292555076838
"60"	4	30	15	44.3061616024141
"61"	1	60	15	221.924252827112
"62"	2	60	15	123.309508116255
"63"	3	60	15	74.1768664572016
"64"	4	60	15	21.2898301935582
"65"	1	5	20	360.300614287708
"66"	2	5	20	360.399166717836
"67"	3	5	20	359.88582056115
"68"	4	5	20	358.492232670972
"69"	1	15	20	343.517355566736
"70"	2	15	20	305.842623993776
"71"	3	15	20	256.736774718563
"72"	4	15	20	213.649311841711
"73"	1	30	20	273.031958879841
"74"	2	30	20	180.946490067462
"75"	3	30	20	101.722210203694
"76"	4	30	20	65.7662631879172
"77"	1	60	20	221.73549745393
"78"	2	60	20	117.332498984438
"79"	3	60	20	58.8120324380826
"80"	4	60	20	20.5647280334007
"81"	1	5	25	337.673058070656
"82"	2	5	25	337.1012421439
"83"	3	5	25	338.047981614407
"84"	4	5	25	336.866106018988
"85"	1	15	25	326.809426290757
"86"	2	15	25	290.730968169509
"87"	3	15	25	253.356040513131
"88"	4	15	25	218.452532493553
"89"	1	30	25	260.260150098006
"90"	2	30	25	180.446288278201
"91"	3	30	25	121.073450304682
"92"	4	30	25	59.3054217988785
"93"	1	60	25	208.027374859549
"94"	2	60	25	128.217633053202
"95"	3	60	25	83.7798696228355
"96"	4	60	25	32.5520287635287
"97"	1	5	30	315.663143411076
"98"	2	5	30	314.289080019708
"99"	3	5	30	314.835386933351
"100"	4	5	30	315.029541551138
"101"	1	15	30	302.360691898954
"102"	2	15	30	280.715787365045
"103"	3	15	30	253.549862695713
"104"	4	15	30	214.632769369763
"105"	1	30	30	247.436955068233
"106"	2	30	30	176.503323982458
"107"	3	30	30	124.39650294193
"108"	4	30	30	75.7741211296198
"109"	1	60	30	212.502167250253
"110"	2	60	30	128.398287489185
"111"	3	60	30	85.3528133563446
"112"	4	60	30	38.6783957812782
"113"	1	5	35	292.393053157137
"114"	2	5	35	292.185827736438
"115"	3	5	35	292.461043631359
"116"	4	5	35	291.629649961288
"117"	1	15	35	286.61723160901
"118"	2	15	35	271.357776174428
"119"	3	15	35	237.316151336218
"120"	4	15	35	211.953536769254
"121"	1	30	35	236.482171106225
"122"	2	30	35	175.071755722547
"123"	3	30	35	122.939258626644
"124"	4	30	35	74.9683753035914
"125"	1	60	35	203.001051129808
"126"	2	60	35	130.359862905696
"127"	3	60	35	85.8228444815579
"128"	4	60	35	49.473308531744
"129"	1	5	40	269.976602621407
"130"	2	5	40	269.774820152529
"131"	3	5	40	270.679624610835
"132"	4	5	40	269.222268934216
"133"	1	15	40	264.511893305816
"134"	2	15	40	248.736489777757
"135"	3	15	40	226.324907041605
"136"	4	15	40	202.771861539375
"137"	1	30	40	224.184172700054
"138"	2	30	40	167.587281128738
"139"	3	30	40	122.482877110147
"140"	4	30	40	80.6670358167559
"141"	1	60	40	190.763816502516
"142"	2	60	40	125.04191134429
"143"	3	60	40	84.6414041498199
"144"	4	60	40	55.4736443463657
"145"	1	5	45	248.157831977706
"146"	2	5	45	247.695894535585
"147"	3	5	45	247.022263671411
"148"	4	5	45	247.579093955087
"149"	1	15	45	241.024090345157
"150"	2	15	45	231.576321928213
"151"	3	15	45	212.243950307543
"152"	4	15	45	188.300166183772
"153"	1	30	45	204.222207675081
"154"	2	30	45	156.199014151081
"155"	3	30	45	112.22864578227
"156"	4	30	45	79.2608727874948
"157"	1	60	45	173.54582752656
"158"	2	60	45	118.668839140467
"159"	3	60	45	83.5519948994408
"160"	4	60	45	52.9683901314464
"161"	1	5	50	225.086329268083
"162"	2	5	50	224.660735215724
"163"	3	5	50	225.695806671281
"164"	4	5	50	225.823656116562
"165"	1	15	50	222.9481578127
"166"	2	15	50	210.427113744571
"167"	3	15	50	194.311547963965
"168"	4	15	50	175.492345709979
"169"	1	30	50	190.500460029175
"170"	2	30	50	148.220591507045
"171"	3	30	50	108.140996849643
"172"	4	30	50	68.6174703463704
"173"	1	60	50	168.216375995681
"174"	2	60	50	112.997735555378
"175"	3	60	50	74.5294221229352
"176"	4	60	50	40.6053587815234
"177"	1	5	55	202.192495718596
"178"	2	5	55	202.294886616461
"179"	3	5	55	202.755601998206
"180"	4	5	55	202.243523454048
"181"	1	15	55	199.447243296966
"182"	2	15	55	191.785482454258
"183"	3	15	55	181.528113514684
"184"	4	15	55	160.005344480796
"185"	1	30	55	175.749727740064
"186"	2	30	55	128.133271720245
"187"	3	30	55	101.876467073286
"188"	4	30	55	68.8732490675325
"189"	1	60	55	148.446376437672
"190"	2	60	55	102.183900908536
"191"	3	60	55	71.3768238185156
"192"	4	60	55	46.7600227540852
"193"	1	5	60	179.977857121455
"194"	2	5	60	179.738535861224
"195"	3	5	60	180.232677976939
"196"	4	5	60	179.86484268265
"197"	1	15	60	179.197698921097
"198"	2	15	60	169.389312475736
"199"	3	15	60	159.082177322789
"200"	4	15	60	148.068027757935
"201"	1	30	60	154.818890135833
"202"	2	30	60	121.395047522368
"203"	3	30	60	92.2939903164892
"204"	4	30	60	61.8338304436225
"205"	1	60	60	138.050805739077
"206"	2	60	60	91.9998211853537
"207"	3	60	60	64.6997166996662
"208"	4	60	60	39.8378690388133
"209"	1	5	65	157.660336656779
"210"	2	5	65	157.186419193558
"211"	3	5	65	157.705476699133
"212"	4	5	65	156.894000700312
"213"	1	15	65	155.548069948767
"214"	2	15	65	150.066564330086
"215"	3	15	65	140.740238417839
"216"	4	15	65	128.945850164593
"217"	1	30	65	137.985912870005
"218"	2	30	65	105.457521112232
"219"	3	30	65	83.5444961978881
"220"	4	30	65	56.7471955533799
"221"	1	60	65	126.729938556521
"222"	2	60	65	83.1726413768917
"223"	3	60	65	67.2766251642445
"224"	4	60	65	30.3140172180925
"225"	1	5	70	134.62900254382
"226"	2	5	70	134.80074427998
"227"	3	5	70	135.366044091196
"228"	4	5	70	134.594260281529
"229"	1	15	70	134.032778008047
"230"	2	15	70	129.261923551308
"231"	3	15	70	123.610204283265
"232"	4	15	70	112.482317316143
"233"	1	30	70	117.77007781775
"234"	2	30	70	96.165985759088
"235"	3	30	70	68.0778570414386
"236"	4	30	70	47.4131207357387
"237"	1	60	70	107.434083620812
"238"	2	60	70	71.7086765400546
"239"	3	60	70	58.0098594878373
"240"	4	60	70	33.5443971758463
"241"	1	5	75	111.989645029976
"242"	2	5	75	112.845049031816
"243"	3	5	75	112.71505022883
"244"	4	5	75	112.530920217834
"245"	1	15	75	111.644788680881
"246"	2	15	75	108.328102324432
"247"	3	15	75	103.320265175344
"248"	4	15	75	93.6298534260579
"249"	1	30	75	105.750662963388
"250"	2	30	75	76.1984642154817
"251"	3	30	75	57.0591111154964
"252"	4	30	75	44.2409452888208
"253"	1	60	75	88.8071088881598
"254"	2	60	75	56.9927425975088
"255"	3	60	75	43.6423708459652
"256"	4	60	75	32.7539309848651
"257"	1	5	80	90.4912631971652
"258"	2	5	80	89.8174508197748
"259"	3	5	80	89.7902619950541
"260"	4	5	80	90.4722053424002
"261"	1	15	80	90.139566830113
"262"	2	15	80	87.3241214613959
"263"	3	15	80	82.0325134255907
"264"	4	15	80	77.7749775486931
"265"	1	30	80	80.9065154571915
"266"	2	30	80	64.0373650739936
"267"	3	30	80	49.2449147989871
"268"	4	30	80	33.1273262903163
"269"	1	60	80	72.4567401264055
"270"	2	60	80	51.749857181894
