"n.bad"	"sd"	"n.peeks"	"total.points.mean"	"total.points.median"	"final.impression.mad.mean"	"final.peek.impression.mad"	"final.peek.prefer.best.mean"
"1"	1	5	0	439.768372799137	442.696507061102	1.30702280474527	NA	NA
"2"	1	5	5	426.281188127683	425.804418201755	1.13952563548315	3.39458847090491	0.9482
"3"	1	5	10	407.660902730508	407.615311923695	1.0252773314814	2.01494439632377	0.9972
"4"	1	5	15	383.535556153994	383.825150714751	0.939522694913674	1.60166806527902	0.9994
"5"	1	5	20	359.514077802567	360.13325018376	0.892737784383953	1.39622440683278	1
"6"	1	5	25	337.551075951016	338.868591069965	0.838322678196336	1.24479530019225	1
"7"	1	5	30	314.345047524629	313.518137346581	0.801974918081629	1.11818580493034	1
"8"	1	5	35	291.104567535581	291.2338055096	0.786043491259105	1.0466260110677	1
"9"	1	5	40	271.148080003927	272.00305190848	0.770789581994925	0.995963438489739	1
"10"	1	5	45	246.643884025911	246.846857223419	0.761771168921538	0.948974789763053	1
"11"	1	5	50	225.442681286715	225.243539118569	0.744083001368693	0.898672907690796	1
"12"	1	5	55	201.953337815989	202.470347817857	0.733613331041755	0.870589017336066	1
"13"	1	5	60	180.117202470606	179.440535170085	0.719114736467778	0.832517805346222	1
"14"	1	5	65	157.685449071112	157.252091955138	0.727606842661078	0.820400475111629	1
"15"	1	5	70	135.223442365121	135.90709768776	0.71637832403873	0.787911420769684	1
"16"	1	5	75	112.786295781941	113.308853377444	0.710315140138431	0.774303857406379	1
"17"	1	5	80	89.9011191450659	90.0580108926439	0.694997590362178	0.742746080854804	1
"18"	1	5	85	67.7641317535022	67.9525982742539	0.709233340717737	0.744045865014733	1
"19"	1	5	90	45.0869803834079	45.1067002383115	0.693136402682352	0.713974098607261	1
"20"	1	5	95	22.3846652177774	22.5650086848243	0.700185623335001	0.711474269160433	1
"21"	1	5	100	0	0	0.689506710843487	0.687222192303791	1
"22"	1	15	0	346.350878541041	383.17207253995	3.3474537274514	NA	NA
"23"	1	15	5	349.435434535935	376.823099500977	3.14070240111916	10.27802179833	0.7082
"24"	1	15	10	357.062931761839	377.175315846559	2.84442938645515	6.01622097249725	0.82
"25"	1	15	15	359.760713509324	371.184788731068	2.68710502587455	4.80297225510662	0.8774
"26"	1	15	20	341.862200805447	349.768555186982	2.55939299893032	4.16562231052591	0.9128
"27"	1	15	25	327.039516007611	329.180733019293	2.49592812664353	3.72524511702274	0.9392
"28"	1	15	30	300.167959894733	305.402852762159	2.4088740393195	3.35203471632427	0.9534
"29"	1	15	35	280.45928979224	285.195025757511	2.33652845789235	3.19349765018365	0.9598
"30"	1	15	40	262.946719639973	264.365947982227	2.30915941743508	3.04485138664639	0.9666
"31"	1	15	45	245.061987521988	246.097339806895	2.24943442611872	2.84153118669008	0.975
"32"	1	15	50	223.016110908967	224.186035389165	2.23987828501593	2.68764066800781	0.9796
"33"	1	15	55	199.890849828288	202.483867706564	2.18603163504708	2.60189180811598	0.9824
"34"	1	15	60	180.882413426068	182.267767680145	2.18563123279185	2.5248590304731	0.9884
"35"	1	15	65	154.121614289523	151.632378493311	2.17941886417707	2.46660480743722	0.9878
"36"	1	15	70	134.849220442957	135.993900655522	2.10069053653773	2.33388309262515	0.9942
"37"	1	15	75	111.187269272311	109.983338156247	2.14900233822744	2.33886917342086	0.9936
"38"	1	15	80	89.3550343325226	88.7861683330716	2.09962574990038	2.2551816133451	0.9934
"39"	1	15	85	67.7743409410194	68.1883422433048	2.08588184156786	2.19382924664944	0.994
