"n.bad"	"sd"	"n.peeks"	"final.impression.mad.mean"	"final.peek.prefer.best.mean"	"n"
"1"	1	5	0	5	0.495	1000
"2"	1	5	5	3.50149924900526	0.945	1000
"3"	1	5	10	2.22882609628528	0.993	1000
"4"	1	5	15	1.79954848830964	0.999	1000
"5"	1	5	20	1.59891918238131	1	1000
"6"	1	5	25	1.39602160539468	1	1000
"7"	1	5	30	1.29704050956423	1	1000
"8"	1	5	35	1.19375466038331	1	1000
"9"	1	5	40	1.0597234295841	1	1000
"10"	1	5	45	1.03944399429836	1	1000
"11"	1	5	50	0.99260213535467	1	1000
"12"	1	5	55	0.93908826226326	1	1000
"13"	1	5	60	0.869972129154509	1	1000
"14"	1	5	65	0.867508589530689	1	1000
"15"	1	5	70	0.82886807813612	1	1000
"16"	1	5	75	0.794114697484193	1	1000
"17"	1	5	80	0.783281441412898	1	1000
"18"	1	5	85	0.73801877459396	1	1000
"19"	1	5	90	0.725325111702064	1	1000
"20"	1	5	95	0.723123569234744	1	1000
"21"	1	5	100	0.719348003454273	1	1000
"22"	1	10	0	5	0.522	1000
"23"	1	10	5	7.11122766591653	0.783	1000
"24"	1	10	10	4.47522010439643	0.894	1000
"25"	1	10	15	3.64065905520617	0.95	1000
"26"	1	10	20	3.23938182956035	0.966	1000
"27"	1	10	25	2.77694978458949	0.977	1000
"28"	1	10	30	2.55489242492261	0.986	1000
"29"	1	10	35	2.42977693099354	0.987	1000
"30"	1	10	40	2.16107975095323	0.996	1000
"31"	1	10	45	1.969033317367	0.999	1000
"32"	1	10	50	2.0152152837382	0.999	1000
"33"	1	10	55	1.84844827068146	0.999	1000
"34"	1	10	60	1.83048327641602	1	1000
"35"	1	10	65	1.75030038632254	1	1000
"36"	1	10	70	1.63064046102501	0.999	1000
"37"	1	10	75	1.57255131477898	1	1000
"38"	1	10	80	1.54306503636415	1	1000
"39"	1	10	85	1.4721413826902	1	1000
"40"	1	10	90	1.47621395713092	1	1000
"41"	1	10	95	1.39114002221048	1	1000
"42"	1	10	100	1.34253542602914	1	1000
"43"	1	60	0	5	0.501	1000
"44"	1	60	5	42.8414737174786	0.557	1000
"45"	1	60	10	26.3900783246151	0.568	1000
"46"	1	60	15	21.7675322757764	0.613	1000
"47"	1	60	20	19.2633395885358	0.618	1000
"48"	1	60	25	16.7908817587558	0.625	1000
"49"	1	60	30	15.5337184534326	0.642	1000
"50"	1	60	35	14.3149838177894	0.662	1000
