"n.peeks"	"peek.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"final.impression.mad"	"final.peek.prefer.best"
"1"	0	"uniform"	"mean"	5	-5	1	1	5	1	5	0
"2"	5	"uniform"	"mean"	5	-5	1	1	5	1	2.20819463028084	1
"3"	10	"uniform"	"mean"	5	-5	1	1	5	1	3.42812419294324	1
"4"	15	"uniform"	"mean"	5	-5	1	1	5	1	2.54281071578119	1
"5"	20	"uniform"	"mean"	5	-5	1	1	5	1	2.7416307875128	1
"6"	25	"uniform"	"mean"	5	-5	1	1	5	1	1.40409680428938	1
"7"	30	"uniform"	"mean"	5	-5	1	1	5	1	0.244128636298953	1
"8"	35	"uniform"	"mean"	5	-5	1	1	5	1	0.352883695406636	1
"9"	40	"uniform"	"mean"	5	-5	1	1	5	1	1.35962350561093	1
"10"	45	"uniform"	"mean"	5	-5	1	1	5	1	1.72959986751404	1
"11"	50	"uniform"	"mean"	5	-5	1	1	5	1	1.6666557940238	1
"12"	55	"uniform"	"mean"	5	-5	1	1	5	1	0.73226626894494	1
"13"	60	"uniform"	"mean"	5	-5	1	1	5	1	1.02490968227133	1
"14"	65	"uniform"	"mean"	5	-5	1	1	5	1	0.809702287716325	1
"15"	70	"uniform"	"mean"	5	-5	1	1	5	1	0.772864954305934	1
"16"	75	"uniform"	"mean"	5	-5	1	1	5	1	0.632630470696083	1
"17"	80	"uniform"	"mean"	5	-5	1	1	5	1	0.0948913853905502	1
"18"	85	"uniform"	"mean"	5	-5	1	1	5	1	1.14170502775377	1
"19"	90	"uniform"	"mean"	5	-5	1	1	5	1	0.254534267865608	1
"20"	95	"uniform"	"mean"	5	-5	1	1	5	1	0.600152130650131	1
"21"	100	"uniform"	"mean"	5	-5	1	1	5	1	0.769972121892832	1
"22"	0	"uniform"	"mean"	5	-5	1	1	5	2	5	1
"23"	5	"uniform"	"mean"	5	-5	1	1	5	2	4.69405364255587	1
"24"	10	"uniform"	"mean"	5	-5	1	1	5	2	1.20917622615889	1
"25"	15	"uniform"	"mean"	5	-5	1	1	5	2	0.752917233050461	1
"26"	20	"uniform"	"mean"	5	-5	1	1	5	2	3.24545939761625	1
"27"	25	"uniform"	"mean"	5	-5	1	1	5	2	0.765971876981925	1
"28"	30	"uniform"	"mean"	5	-5	1	1	5	2	0.391607184613903	1
"29"	35	"uniform"	"mean"	5	-5	1	1	5	2	1.00511787822745	1
"30"	40	"uniform"	"mean"	5	-5	1	1	5	2	1.15501203516018	1
"31"	45	"uniform"	"mean"	5	-5	1	1	5	2	0.766063774993838	1
"32"	50	"uniform"	"mean"	5	-5	1	1	5	2	1.35005955236083	1
"33"	55	"uniform"	"mean"	5	-5	1	1	5	2	0.514250775928895	1
"34"	60	"uniform"	"mean"	5	-5	1	1	5	2	1.02122909472088	1
"35"	65	"uniform"	"mean"	5	-5	1	1	5	2	0.537691214620085	1
"36"	70	"uniform"	"mean"	5	-5	1	1	5	2	1.00143164293221	1
"37"	75	"uniform"	"mean"	5	-5	1	1	5	2	2.16121507326441	1
"38"	80	"uniform"	"mean"	5	-5	1	1	5	2	1.34445264150913	1
"39"	85	"uniform"	"mean"	5	-5	1	1	5	2	0.3715699388649	1
"40"	90	"uniform"	"mean"	5	-5	1	1	5	2	0.615876018877393	1
"41"	95	"uniform"	"mean"	5	-5	1	1	5	2	0.889511813404933	1
"42"	100	"uniform"	"mean"	5	-5	1	1	5	2	0.333663678690337	1
"43"	0	"uniform"	"mean"	5	-5	1	1	5	3	5	0
"44"	5	"uniform"	"mean"	5	-5	1	1	5	3	4.35500119971875	1
"45"	10	"uniform"	"mean"	5	-5	1	1	5	3	0.785685298861169	1
"46"	15	"uniform"	"mean"	5	-5	1	1	5	3	2.02309050891644	1
"47"	20	"uniform"	"mean"	5	-5	1	1	5	3	3.34503155879637	1
"48"	25	"uniform"	"mean"	5	-5	1	1	5	3	1.82324750555491	1
"49"	30	"uniform"	"mean"	5	-5	1	1	5	3	0.825862360842483	1
"50"	35	"uniform"	"mean"	5	-5	1	1	5	3	2.28316101404966	1
"51"	40	"uniform"	"mean"	5	-5	1	1	5	3	0.603748019458985	1
"52"	45	"uniform"	"mean"	5	-5	1	1	5	3	0.725142090235825	1
"53"	50	"uniform"	"mean"	5	-5	1	1	5	3	1.68603257908642	1
"54"	55	"uniform"	"mean"	5	-5	1	1	5	3	1.67440223270545	1
"55"	60	"uniform"	"mean"	5	-5	1	1	5	3	0.332933630019736	1
"56"	65	"uniform"	"mean"	5	-5	1	1	5	3	1.08561534986171	1
"57"	70	"uniform"	"mean"	5	-5	1	1	5	3	0.109075293607203	1
"58"	75	"uniform"	"mean"	5	-5	1	1	5	3	1.07010810810913	1
"59"	80	"uniform"	"mean"	5	-5	1	1	5	3	0.894255094518239	1
"60"	85	"uniform"	"mean"	5	-5	1	1	5	3	1.3326675572439	1
"61"	90	"uniform"	"mean"	5	-5	1	1	5	3	0.991823303164143	1
"62"	95	"uniform"	"mean"	5	-5	1	1	5	3	1.47172112538097	1
"63"	100	"uniform"	"mean"	5	-5	1	1	5	3	0.881561087754394	1
"64"	0	"uniform"	"mean"	5	-5	1	1	5	4	5	0
"65"	5	"uniform"	"mean"	5	-5	1	1	5	4	2.24098745689873	1
"66"	10	"uniform"	"mean"	5	-5	1	1	5	4	2.94468119296548	1
"67"	15	"uniform"	"mean"	5	-5	1	1	5	4	0.25682150514794	1
"68"	20	"uniform"	"mean"	5	-5	1	1	5	4	1.56605325203616	1
"69"	25	"uniform"	"mean"	5	-5	1	1	5	4	0.794716264279673	1
"70"	30	"uniform"	"mean"	5	-5	1	1	5	4	2.02493893629042	1
"71"	35	"uniform"	"mean"	5	-5	1	1	5	4	1.7510440923207	1
"72"	40	"uniform"	"mean"	5	-5	1	1	5	4	0.999934489218085	1
"73"	45	"uniform"	"mean"	5	-5	1	1	5	4	0.595017771519529	1
"74"	50	"uniform"	"mean"	5	-5	1	1	5	4	1.64511871660323	1
"75"	55	"uniform"	"mean"	5	-5	1	1	5	4	1.03858938667899	1
"76"	60	"uniform"	"mean"	5	-5	1	1	5	4	0.47141042178233	1
"77"	65	"uniform"	"mean"	5	-5	1	1	5	4	1.18447803729899	1
"78"	70	"uniform"	"mean"	5	-5	1	1	5	4	1.26433064169006	1
"79"	75	"uniform"	"mean"	5	-5	1	1	5	4	1.00722310191835	1
"80"	80	"uniform"	"mean"	5	-5	1	1	5	4	1.25717614291025	1
"81"	85	"uniform"	"mean"	5	-5	1	1	5	4	1.64737892335946	1
"82"	90	"uniform"	"mean"	5	-5	1	1	5	4	0.363416209365767	1
"83"	95	"uniform"	"mean"	5	-5	1	1	5	4	1.4644177803396	1
"84"	100	"uniform"	"mean"	5	-5	1	1	5	4	0.900426282323888	1
"85"	0	"uniform"	"mean"	5	-5	1	1	5	5	5	1
"86"	5	"uniform"	"mean"	5	-5	1	1	5	5	1.88086592973787	1
"87"	10	"uniform"	"mean"	5	-5	1	1	5	5	0.322005563799865	1
"88"	15	"uniform"	"mean"	5	-5	1	1	5	5	3.37438702665283	1
"89"	20	"uniform"	"mean"	5	-5	1	1	5	5	1.83170769683928	1
"90"	25	"uniform"	"mean"	5	-5	1	1	5	5	1.78221305318399	1
