"n.bad"	"sd"	"n.peeks"	"total.points.mean"	"final.impression.mad.mean"	"final.peek.impression.mad"	"final.peek.prefer.best.mean"	"first.keep.points.mean"	"n"
"1"	1	5	0	479.330392907654	2.27691902261869	NA	NA	0.126091240076787	5000
"2"	1	5	5	472.172470561872	1.53322487550225	2.55228660826947	0.982	4.91436131939363	5000
"3"	1	5	10	451.553611192859	1.20824346290968	1.82736074913029	0.998	4.99711436015454	5000
"4"	1	5	15	423.642430868544	1.02110895022116	1.49372581360522	1	4.99658319851874	5000
"5"	1	5	20	399.370725367306	0.949003830249363	1.32010240646149	1	4.99928640071955	5000
"6"	1	5	25	374.337058959905	0.878634323907914	1.19522602551183	1	5.05764231248586	5000
"7"	1	5	30	349.983070479781	0.846639441736216	1.09261275680997	1	5.04763188862673	5000
"8"	1	5	35	324.668383996458	0.809644197342001	1.02252417783883	1	5.00013442813349	5000
"9"	1	5	40	299.787624582691	0.777014022534945	0.968397251260276	1	4.90293378515905	5000
"10"	1	5	45	274.827311168295	0.750513160740593	0.915152514813438	1	4.98066653721203	5000
"11"	1	5	50	249.359922366367	0.761106894150164	0.893904137812777	1	4.98306583224318	5000
"12"	1	5	55	224.735773332082	0.7175435753811	0.835493191157666	1	4.90611368580675	5000
"13"	1	5	60	200.322850716973	0.730672801277029	0.831789744242948	1	4.95003128681406	5000
"14"	1	5	65	174.766135580787	0.707875942846086	0.790733363013968	1	5.03812165176053	5000
"15"	1	5	70	150.095271261006	0.709640269765442	0.77879804130158	1	5.14695074800912	5000
"16"	1	5	75	124.834915134585	0.69980858944817	0.759454153885924	1	4.88944239144809	5000
"17"	1	5	80	100.014309678285	0.699225134814249	0.74350660712202	1	4.93455017479648	5000
"18"	1	5	85	75.2605753863911	0.690720878020343	0.727804652014216	1	5.0512950706299	5000
"19"	1	5	90	49.5514833159832	0.682891056576851	0.706738895031813	1	4.8754537324979	5000
"20"	1	5	95	24.8444056301025	0.692221064104272	0.703844515019456	1	4.95498526594061	5000
"21"	1	5	100	0	0.684352920078956	0.684352920078956	1	NA	5000
"22"	1	10	0	394.593759345717	3.77200666219211	NA	NA	0.344970454648814	5000
"23"	1	10	5	441.155065993168	2.85017323055654	5.19083417474575	0.863	3.62777255968544	5000
"24"	1	10	10	436.992748307883	2.24972125951028	3.56604652827559	0.9424	4.40815960652643	5000
