"n.bad"	"sd"	"n.peeks"	"total.points.mean"	"final.impression.mad.mean"	"final.peek.impression.mad"	"final.peek.prefer.best.mean"	"first.keep.points.mean"	"n"
"1"	1	5	0	441.382095733175	1.17866615745049	NA	NA	0.0830061910279972	1000
"2"	1	5	5	426.300839853145	1.05173293954624	2.5429367560795	0.984	4.38253586970566	1000
"3"	1	5	10	407.212795889645	0.98099431130301	1.84311623029958	0.999	4.47393794758105	1000
"4"	1	5	15	381.163008255373	0.915210897997003	1.48699307730386	1	4.68017299787966	1000
"5"	1	5	20	359.32727851069	0.845022906958332	1.27813678620413	1	4.44034196753524	1000
"6"	1	5	25	338.995329967867	0.835180184279849	1.18385040521628	1	4.11345779478049	1000
"7"	1	5	30	313.602375107374	0.805338550195316	1.08798303673668	1	4.30836761527767	1000
"8"	1	5	35	289.883919931719	0.760968287591398	1.01198563804039	1	4.49108199093377	1000
"9"	1	5	40	270.636845545246	0.778072659703243	0.985630224431703	1	4.52043527276465	1000
"10"	1	5	45	246.733466202724	0.749153463846802	0.937818197794494	1	4.39379011321672	1000
"11"	1	5	50	224.016948103777	0.722521165330236	0.897336313723972	1	4.1599869785631	1000
"12"	1	5	55	201.966492351145	0.735311654866381	0.848867637739939	1	4.32032747796269	1000
"13"	1	5	60	179.236849000209	0.704015536866472	0.818002978547603	1	4.493995568307	1000
"14"	1	5	65	158.143389578128	0.711012840741565	0.793766623974002	1	4.45393921822917	1000
"15"	1	5	70	135.566827175608	0.695412547327122	0.77077552687635	1	4.99227646430651	1000
"16"	1	5	75	111.803296187418	0.692007122147262	0.750831975033028	1	4.32197580997035	1000
"17"	1	5	80	89.3328723744821	0.700341546691745	0.748790745199122	1	4.66719387689763	1000
"18"	1	5	85	66.7090045633271	0.686091597725301	0.731390098457405	1	4.51271902544266	1000
"19"	1	5	90	44.9263372393387	0.688059112380017	0.722200455350329	1	4.41249539763791	1000
"20"	1	5	95	23.0651684075258	0.675782354193216	0.686709271698372	1	4.8158890450815	1000
"21"	1	5	100	0	0.700631829110175	0.700631829110175	1	NA	1000
"22"	1	10	0	402.978631743624	2.15809579966459	NA	NA	0.0727087418961389	1000
"23"	1	10	5	407.925536760218	2.03065940782923	5.20630340256418	0.862	3.36018212168336	1000
"24"	1	10	10	402.565377849334	1.92053037939418	3.61094190175918	0.938	3.84124266580994	1000
"25"	1	10	15	379.844036974413	1.76648694174847	2.95337525112431	0.964	4.05215314836378	1000
"26"	1	10	20	361.536652283296	1.74505740179324	2.72972608901875	0.986	4.42016157160559	1000
"27"	1	10	25	342.586623586435	1.66329711971093	2.42242641034235	0.984	4.35987074189812	1000
"28"	1	10	30	316.451362172813	1.56931363333678	2.14650177226392	0.999	4.82484578961848	1000
"29"	1	10	35	294.595611871881	1.53989638435295	2.04596836174437	0.999	4.56886728435031	1000
