"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"final.peek.impression.mad"	"final.peek.prefer.best"	"final.peek.rank.best"	"first.keep.points"
"1"	100	0	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	498.382706481068	1.33169200385848	1	96	0	0.96	NA	NA	NA	4.03976747069509
"2"	100	5	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	421.117562938484	0.418276042366274	1	91	2	0.93	3.05345496271194	1	1	3.31235479114827
"3"	100	10	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	338.111965758994	0.57863080892767	1	87	3	0.9	1.76905617714185	1	1	-2.07439014849054
"4"	100	15	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	452.204589371578	2.06040783750985	1	81	5	0.86	1.57213778224874	1	1	4.71303725720751
"5"	100	20	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	331.767118354221	0.7736732983742	1	75	7	0.82	0.487089346653387	1	1	-0.796141106067747
"6"	100	25	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	409.884681841545	0.783953139245704	1	73	9	0.82	1.05762848827379	1	1	-0.482410476948574
"7"	100	30	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	300.223643794665	1.61164103891497	1	64	10	0.74	2.59676799688804	1	1	3.27028110110661
"8"	100	35	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	211.864615899523	1.34370220003219	1	61	11	0.72	1.42895010007152	1	1	10.9610057887472
"9"	100	40	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	288.653066559447	0.489554689799967	1	58	14	0.72	0.896357087642159	1	1	-1.975772262427
"10"	100	45	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	321.630431434411	1.29423042823417	1	53	15	0.68	1.40707589487633	1	1	6.93802708701529
"11"	100	50	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	185.658049416464	0.236846129243098	1	48	17	0.65	0.343704002956954	1	1	4.87558552503039
"12"	100	55	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	163.337706168577	1.29838527109491	1	45	18	0.63	1.43417961671034	1	1	7.99106491250303
"13"	100	60	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	158.236810191215	0.650206249549508	1	39	20	0.59	0.482308009303386	1	1	1.11013121827755
"14"	100	65	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	177.359132010842	0.894456795464456	1	32	22	0.54	0.957115506142562	1	1	7.89226382595141
"15"	100	70	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	100.635958350977	0.3962797297606	1	29	23	0.52	1.19289805518365	1	1	4.85628533612948
"16"	100	75	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	102.817400929985	0.371584479861529	1	23	25	0.48	0.694131302979081	1	1	11.2929178647376
"17"	100	80	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	82.4103800792087	1.30441379549358	1	19	27	0.46	1.51065056354238	1	1	-4.04482288633846
"18"	100	85	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	42.9559829079899	0.754784477630091	1	14	28	0.42	0.963381888171776	1	1	12.3758910370703
"19"	100	90	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	111.498129311488	1.5020393242136	1	10	30	0.4	1.19584756189677	1	1	14.4189048386163
"20"	100	95	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	18.09580532501	0.300457315231614	1	4	32	0.36	0.259887559419833	1	1	14.2011024778933
"21"	100	100	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	1	0	0.316675969190246	1	0	33	0.33	0.316675969190246	1	1	NA
"22"	100	0	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	2	360.381891881091	2.30724211815352	1	92	0	0.92	NA	NA	NA	13.5441875664302
"23"	100	5	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	5	2	445.617497116535	1.77386292124121	1	89	2	0.91	3.43164713845578	1	1	7.30533346517132
