"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"total.peeks"
"1"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	205.573305710925	3.53096739519885	1	57	2	0.59	22
"22"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	424.211016076104	4.2117864371949	1	65	6	0.71	19
"43"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	3	-102.841259118453	6.68199875458449	1	20	44	0.64	76
"64"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	4	-107.582756747356	8.81848754857997	0	4	8	0.12	77
"85"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	5	209.793944089941	3.90923309856883	1	58	2	0.6	14
"106"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	6	191.024428001253	3.02860765046242	1	65	4	0.69	32
"127"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	7	708.602425604251	5.35123411819627	1	74	1	0.75	22
"148"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	8	825.690422109327	5.83856251401619	1	75	1	0.76	23
"169"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	9	440.440572779937	1.8814387247052	1	70	1	0.71	24
"190"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	10	732.8990868163	7.41612550366251	1	77	2	0.79	23
"211"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	11	252.266579250693	4.23257001541934	0	50	1	0.51	12
"232"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	12	-153.641601827379	4.91100644553284	1	21	24	0.45	51
"253"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	13	-223.602392462469	7.72402435655909	0	6	7	0.13	34
"274"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	14	300.79049715104	5.91532836757985	1	51	18	0.69	49
"295"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	15	617.552665399525	6.47079368017982	1	79	1	0.8	21
"316"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	16	627.931450714823	5.39185179571686	1	75	2	0.77	23
"337"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	17	-74.7886830573545	6.6220319776002	1	28	6	0.34	62
