"environment"	"difficulty"	"option.order"	"trial"	"a"	"b"	"c"
"5"	"dynamic"	"easy"	"bgm"	1	-10	8	9
"29"	"dynamic"	"easy"	"bgm"	2	-37	14	1
"53"	"dynamic"	"easy"	"bgm"	3	9	5	9
"77"	"dynamic"	"easy"	"bgm"	4	9	9	7
"101"	"dynamic"	"easy"	"bgm"	5	-2	15	-2
"125"	"dynamic"	"easy"	"bgm"	6	-5	1	4
"149"	"dynamic"	"easy"	"bgm"	7	-26	-33	12
"173"	"dynamic"	"easy"	"bgm"	8	-6	7	1
"197"	"dynamic"	"easy"	"bgm"	9	-6	-6	-12
"221"	"dynamic"	"easy"	"bgm"	10	3	9	-4
"245"	"dynamic"	"easy"	"bgm"	11	15	14	-6
"269"	"dynamic"	"easy"	"bgm"	12	-18	29	-8
"293"	"dynamic"	"easy"	"bgm"	13	-21	-4	9
"317"	"dynamic"	"easy"	"bgm"	14	-1	-13	1
"341"	"dynamic"	"easy"	"bgm"	15	-13	8	-15
"365"	"dynamic"	"easy"	"bgm"	16	12	-13	5
"389"	"dynamic"	"easy"	"bgm"	17	-4	-9	-11
"413"	"dynamic"	"easy"	"bgm"	18	7	0	-6
"437"	"dynamic"	"easy"	"bgm"	19	5	5	-29
"461"	"dynamic"	"easy"	"bgm"	20	-2	-2	-16
"485"	"dynamic"	"easy"	"bgm"	21	-13	-3	-14
"509"	"dynamic"	"easy"	"bgm"	22	7	8	-13
"533"	"dynamic"	"easy"	"bgm"	23	-14	13	-11
"557"	"dynamic"	"easy"	"bgm"	24	2	3	11
"581"	"dynamic"	"easy"	"bgm"	25	10	7	-3
"605"	"dynamic"	"easy"	"bgm"	26	-11	20	-3
"629"	"dynamic"	"easy"	"bgm"	27	4	21	-8
"653"	"dynamic"	"easy"	"bgm"	28	-15	4	-2
"677"	"dynamic"	"easy"	"bgm"	29	-20	16	-1
"701"	"dynamic"	"easy"	"bgm"	30	2	3	-11
"725"	"dynamic"	"easy"	"bgm"	31	-8	29	-2
"749"	"dynamic"	"easy"	"bgm"	32	-2	0	18
"773"	"dynamic"	"easy"	"bgm"	33	-14	-12	-14
"797"	"dynamic"	"easy"	"bgm"	34	-8	-7	-14
"821"	"dynamic"	"easy"	"bgm"	35	-3	12	-4
"845"	"dynamic"	"easy"	"bgm"	36	-8	-11	15
"869"	"dynamic"	"easy"	"bgm"	37	-13	8	10
"893"	"dynamic"	"easy"	"bgm"	38	-5	14	17
"917"	"dynamic"	"easy"	"bgm"	39	-26	8	13
"941"	"dynamic"	"easy"	"bgm"	40	-6	1	-11
"965"	"dynamic"	"easy"	"bgm"	41	-7	29	2
"989"	"dynamic"	"easy"	"bgm"	42	12	-12	-5
"1013"	"dynamic"	"easy"	"bgm"	43	-6	4	-3
"1037"	"dynamic"	"easy"	"bgm"	44	-15	11	-16
"1061"	"dynamic"	"easy"	"bgm"	45	-17	-5	6
"1085"	"dynamic"	"easy"	"bgm"	46	-7	1	-7
"1109"	"dynamic"	"easy"	"bgm"	47	-17	2	4
"1133"	"dynamic"	"easy"	"bgm"	48	-13	-4	-5
"1157"	"dynamic"	"easy"	"bgm"	49	-5	3	-9
"1181"	"dynamic"	"easy"	"bgm"	50	-3	21	-16
"1205"	"dynamic"	"easy"	"bgm"	51	1	2	4
"1229"	"dynamic"	"easy"	"bgm"	52	-7	15	-3
"1253"	"dynamic"	"easy"	"bgm"	53	-14	-6	9
"1277"	"dynamic"	"easy"	"bgm"	54	-10	5	1
"1301"	"dynamic"	"easy"	"bgm"	55	-13	9	1
"1325"	"dynamic"	"easy"	"bgm"	56	-19	-4	16
"1349"	"dynamic"	"easy"	"bgm"	57	3	14	0
"1373"	"dynamic"	"easy"	"bgm"	58	-5	16	9
"1397"	"dynamic"	"easy"	"bgm"	59	0	2	14
"1421"	"dynamic"	"easy"	"bgm"	60	-21	-2	-7
"1445"	"dynamic"	"easy"	"bgm"	61	10	7	-9
"1469"	"dynamic"	"easy"	"bgm"	62	3	23	15
"1493"	"dynamic"	"easy"	"bgm"	63	-18	16	-13
"1517"	"dynamic"	"easy"	"bgm"	64	-4	27	2
"1541"	"dynamic"	"easy"	"bgm"	65	-9	-8	-9
"1565"	"dynamic"	"easy"	"bgm"	66	15	0	6
"1589"	"dynamic"	"easy"	"bgm"	67	1	19	1
"1613"	"dynamic"	"easy"	"bgm"	68	2	5	11
"1637"	"dynamic"	"easy"	"bgm"	69	3	-12	-3
"1661"	"dynamic"	"easy"	"bgm"	70	3	14	19
"1685"	"dynamic"	"easy"	"bgm"	71	-8	12	-5
"1709"	"dynamic"	"easy"	"bgm"	72	0	6	4
"1733"	"dynamic"	"easy"	"bgm"	73	2	17	-6
"1757"	"dynamic"	"easy"	"bgm"	74	-9	21	-20
"1781"	"dynamic"	"easy"	"bgm"	75	-11	1	1
"1805"	"dynamic"	"easy"	"bgm"	76	-11	1	9
"1829"	"dynamic"	"easy"	"bgm"	77	-5	24	-17
"1853"	"dynamic"	"easy"	"bgm"	78	-4	11	29
"1877"	"dynamic"	"easy"	"bgm"	79	-11	4	-12
"1901"	"dynamic"	"easy"	"bgm"	80	7	2	16
"1925"	"dynamic"	"easy"	"bgm"	81	-8	-1	3
"1949"	"dynamic"	"easy"	"bgm"	82	8	-6	9
"1973"	"dynamic"	"easy"	"bgm"	83	-3	11	-4
"1997"	"dynamic"	"easy"	"bgm"	84	9	16	11
"2021"	"dynamic"	"easy"	"bgm"	85	-1	-2	5
"2045"	"dynamic"	"easy"	"bgm"	86	1	8	5
"2069"	"dynamic"	"easy"	"bgm"	87	6	7	0
"2093"	"dynamic"	"easy"	"bgm"	88	-6	6	-5
"2117"	"dynamic"	"easy"	"bgm"	89	-6	2	11
"2141"	"dynamic"	"easy"	"bgm"	90	-5	0	-11
"2165"	"dynamic"	"easy"	"bgm"	91	-9	-11	-2
"2189"	"dynamic"	"easy"	"bgm"	92	-4	2	2
"2213"	"dynamic"	"easy"	"bgm"	93	-11	6	-3
"2237"	"dynamic"	"easy"	"bgm"	94	-22	-15	12
"2261"	"dynamic"	"easy"	"bgm"	95	-4	-10	9
"2285"	"dynamic"	"easy"	"bgm"	96	-1	9	-3
"2309"	"dynamic"	"easy"	"bgm"	97	8	-8	10
"2333"	"dynamic"	"easy"	"bgm"	98	2	7	4
"2357"	"dynamic"	"easy"	"bgm"	99	-1	15	13
